,Generation,Solution,Fitness,Parameters,Fittest
11,0,"""110110000011101110101000""",0.501884996891,"(106.0, 705.0, 39.0, 13.0)",Population
31,1,"""110110000011101110101000""",0.501884996891,"(106.0, 705.0, 39.0, 13.0)",Fittest
62,2,"""110110000011101110101000""",0.501884996891,"(106.0, 705.0, 39.0, 13.0)",Fittest
116,3,"""111010100001110000110000""",0.459006011486,"(113.0, 650.0, 43.0, 15.0)",Population
124,4,"""111010100001110000110000""",0.459006011486,"(113.0, 650.0, 43.0, 15.0)",Fittest
155,5,"""111010100001110000110000""",0.459006011486,"(113.0, 650.0, 43.0, 15.0)",Fittest
186,6,"""111010100001110000110000""",0.459006011486,"(113.0, 650.0, 43.0, 15.0)",Fittest
217,7,"""111010100001110000110000""",0.459006011486,"(113.0, 650.0, 43.0, 15.0)",Fittest
248,8,"""111010100001110000110000""",0.459006011486,"(113.0, 650.0, 43.0, 15.0)",Fittest
279,9,"""111010100001110000110000""",0.459006011486,"(113.0, 650.0, 43.0, 15.0)",Fittest
310,10,"""111010100001110000110000""",0.459006011486,"(113.0, 650.0, 43.0, 15.0)",Fittest
341,11,"""111010100001110000110000""",0.459006011486,"(113.0, 650.0, 43.0, 15.0)",Fittest
375,12,"""111010100001110000110000""",0.438722014427,"(113.0, 650.0, 43.0, 15.0)",Population
430,13,"""111111101001110110000000""",0.428526997566,"(120.0, 877.0, 18.0, 6.0)",Population
434,14,"""111111101001110110000000""",0.428526997566,"(120.0, 877.0, 18.0, 6.0)",Fittest
465,15,"""111111101001110110000000""",0.428526997566,"(120.0, 877.0, 18.0, 6.0)",Fittest
526,16,"""111011101001110000000000""",0.407424986362,"(114.0, 875.0, 18.0, 6.0)",Population
527,17,"""111011101001110000000000""",0.407424986362,"(114.0, 875.0, 18.0, 6.0)",Fittest
558,18,"""111011101001110000000000""",0.407424986362,"(114.0, 875.0, 18.0, 6.0)",Fittest
589,19,"""111011101001110000000000""",0.407424986362,"(114.0, 875.0, 18.0, 6.0)",Fittest
620,20,"""111011101001110000000000""",0.407424986362,"(114.0, 875.0, 18.0, 6.0)",Fittest
651,21,"""111011101001110000000000""",0.407424986362,"(114.0, 875.0, 18.0, 6.0)",Fittest
704,22,"""111111101001110110000000""",0.399080991745,"(120.0, 877.0, 18.0, 6.0)",Population
713,23,"""111111101001110110000000""",0.399080991745,"(120.0, 877.0, 18.0, 6.0)",Fittest
744,24,"""111111101001110110000000""",0.399080991745,"(120.0, 877.0, 18.0, 6.0)",Fittest
775,25,"""111111101001110110000000""",0.399080991745,"(120.0, 877.0, 18.0, 6.0)",Fittest
806,26,"""111111101001110110000000""",0.399080991745,"(120.0, 877.0, 18.0, 6.0)",Fittest
837,27,"""111111101001110110000000""",0.399080991745,"(120.0, 877.0, 18.0, 6.0)",Fittest
868,28,"""111111101001110110000000""",0.399080991745,"(120.0, 877.0, 18.0, 6.0)",Fittest
899,29,"""111111101001110110000000""",0.399080991745,"(120.0, 877.0, 18.0, 6.0)",Fittest
