Generation,Solution,Fitness,Parameters,Fittest
11,"""111010100001110000110000""",0.6716799736022949,"(113.0, 650.0, 43.0, 15.0)",Population
11,"""111010100001110000110000""",0.9761109948158264,"(113.0, 650.0, 43.0, 15.0)",Population
11,"""111010100001111110000001""",0.8791570067405701,"(113.0, 656.0, 19.0, 6.0)",Population
11,"""111010100001110000110000""",0.6113160252571106,"(113.0, 650.0, 43.0, 15.0)",Population
11,"""111010000001101110000001""",0.9353089928627014,"(112.0, 649.0, 19.0, 6.0)",Population
11,"""111010000001111110000001""",0.8069850206375122,"(112.0, 656.0, 19.0, 6.0)",Population
11,"""111010000001101110000001""",0.5552020072937012,"(112.0, 649.0, 19.0, 6.0)",Population
11,"""111010101001111110000001""",0.6208279728889465,"(113.0, 881.0, 19.0, 6.0)",Population
11,"""111010100001110000110000""",0.6147559881210327,"(113.0, 650.0, 43.0, 15.0)",Population
11,"""111010100001111000110001""",0.7402009963989258,"(113.0, 653.0, 43.0, 15.0)",Population
11,"""111011101001110110000000""",0.5826259851455688,"(114.0, 877.0, 18.0, 6.0)",Population
11,"""111010100011110000110000""",0.7304990291595459,"(113.0, 706.0, 43.0, 15.0)",Population
11,"""101010100001111110001001""",1.0714960098266602,"(87.0, 656.0, 23.0, 8.0)",Population
11,"""110110000111101110110000""",0.9331690073013306,"(106.0, 818.0, 43.0, 15.0)",Population
11,"""111010100001110000110000""",0.7475410103797913,"(113.0, 650.0, 43.0, 15.0)",Population
11,"""111010100001110000110000""",0.6295310258865356,"(113.0, 650.0, 43.0, 15.0)",Population
11,"""111010100001111110000001""",0.8602529764175415,"(113.0, 656.0, 19.0, 6.0)",Population
11,"""111010100001111110001001""",0.9421070218086243,"(113.0, 656.0, 23.0, 8.0)",Population
11,"""111010100001110000110000""",0.7581689953804016,"(113.0, 650.0, 43.0, 15.0)",Population
11,"""111010000001101110100001""",0.7221239805221558,"(112.0, 649.0, 35.0, 12.0)",Population
11,"""111010101001111110000001""",0.6704890131950378,"(113.0, 881.0, 19.0, 6.0)",Population
12,"""111010100001110000110000""",0.45900601148605347,"(113.0, 650.0, 43.0, 15.0)",Fittest
12,"""111010100001111110000001""",0.4759500026702881,"(113.0, 656.0, 19.0, 6.0)",Elite
