,Generation,Solution,Fitness,Parameters
1,0,"""011100001011101000""",1.46442902088,"(65.0, 928.0)"
4,1,"""011100001011101101""",1.4917049408,"(65.0, 930.0)"
9,2,"""011100001011101001""",1.20829200745,"(65.0, 928.0)"
13,3,"""011100001011101101""",1.60825395584,"(65.0, 930.0)"
17,4,"""011100001011101001""",1.26574504375,"(65.0, 928.0)"
20,5,"""011100001011101001""",1.21643304825,"(65.0, 928.0)"
25,6,"""011100001011101001""",1.56737697124,"(65.0, 928.0)"
30,7,"""011100001011101001""",1.44386804104,"(65.0, 928.0)"
