,Generation,Solution,Fitness,Parameters,Fittest
0,0,"""111100011011111100011001""",2.06324005127,"(115.0, 1387.0, 31.0, 10.0)",Fittest
46,1,"""111100001011111100011001""",1.87750697136,"(115.0, 936.0, 31.0, 10.0)",Population
62,2,"""111100001011111100011001""",1.87750697136,"(115.0, 936.0, 31.0, 10.0)",Fittest
93,3,"""111100001011111100011001""",1.87750697136,"(115.0, 936.0, 31.0, 10.0)",Fittest
124,4,"""111100001011111100011001""",1.87750697136,"(115.0, 936.0, 31.0, 10.0)",Fittest
161,5,"""111100011011111100011101""",1.7752699852,"(115.0, 1387.0, 33.0, 11.0)",Population
186,6,"""111100011011111100011101""",1.7752699852,"(115.0, 1387.0, 33.0, 11.0)",Fittest
217,7,"""111100011011111100011101""",1.7752699852,"(115.0, 1387.0, 33.0, 11.0)",Fittest
248,8,"""111100011011111100011101""",1.7752699852,"(115.0, 1387.0, 33.0, 11.0)",Fittest
307,9,"""111000001011111100011001""",1.65540003777,"(109.0, 936.0, 31.0, 10.0)",Population
310,10,"""111000001011111100011001""",1.65540003777,"(109.0, 936.0, 31.0, 10.0)",Fittest
341,11,"""111000001011111100011001""",1.65540003777,"(109.0, 936.0, 31.0, 10.0)",Fittest
372,12,"""111000001011111100011001""",1.65540003777,"(109.0, 936.0, 31.0, 10.0)",Fittest
407,13,"""111101001011111100011001""",1.6141910553,"(117.0, 936.0, 31.0, 10.0)",Population
434,14,"""111101001011111100011001""",1.6141910553,"(117.0, 936.0, 31.0, 10.0)",Fittest
465,15,"""111101001011111100011001""",1.6141910553,"(117.0, 936.0, 31.0, 10.0)",Fittest
496,16,"""111101001011111100011001""",1.6141910553,"(117.0, 936.0, 31.0, 10.0)",Fittest
527,17,"""111101001011111100011001""",1.6141910553,"(117.0, 936.0, 31.0, 10.0)",Fittest
570,18,"""111101001011111100011101""",1.56385397911,"(117.0, 936.0, 33.0, 11.0)",Population
589,19,"""111101001011111100011101""",1.56385397911,"(117.0, 936.0, 33.0, 11.0)",Fittest
620,20,"""111101001011111100011101""",1.56385397911,"(117.0, 936.0, 33.0, 11.0)",Fittest
651,21,"""111101001011111100011101""",1.56385397911,"(117.0, 936.0, 33.0, 11.0)",Fittest
682,22,"""111101001011111100011101""",1.56385397911,"(117.0, 936.0, 33.0, 11.0)",Fittest
713,23,"""111101001011111100011101""",1.56385397911,"(117.0, 936.0, 33.0, 11.0)",Fittest
744,24,"""111101001011111100011101""",1.56385397911,"(117.0, 936.0, 33.0, 11.0)",Fittest
775,25,"""111101001011111100011101""",1.56385397911,"(117.0, 936.0, 33.0, 11.0)",Fittest
806,26,"""111101001011111100011101""",1.56385397911,"(117.0, 936.0, 33.0, 11.0)",Fittest
837,27,"""111101001011111100011101""",1.56385397911,"(117.0, 936.0, 33.0, 11.0)",Fittest
868,28,"""111101001011111100011101""",1.56385397911,"(117.0, 936.0, 33.0, 11.0)",Fittest
899,29,"""111101001011111100011101""",1.56385397911,"(117.0, 936.0, 33.0, 11.0)",Fittest
