,Generation,Solution,Fitness,Parameters
5,0,"""110110001001001100""",0.754794001579,"(106.0, 859.0)"
14,1,"""100101001011011110""",1.46677601337,"(79.0, 923.0)"
23,2,"""100010101011010010""",1.1104259491,"(75.0, 918.0)"
36,3,"""100101001011011101""",1.26262104511,"(79.0, 923.0)"
40,4,"""100101001011011101""",1.09997105598,"(79.0, 923.0)"
