,Generation,Solution,Fitness,Parameters,Fittest
10,0,"""111000100101011101100001""",2.94339203835,"(109.0, 754.0, 35.0, 12.0)",Population
61,1,"""111000000101011101100000""",2.73663401604,"(109.0, 754.0, 35.0, 12.0)",Population
62,2,"""111000000101011101100000""",2.73663401604,"(109.0, 754.0, 35.0, 12.0)",Fittest
100,3,"""111000000101011101100100""",2.68935608864,"(109.0, 754.0, 37.0, 12.0)",Population
124,4,"""111000000101011101100100""",2.68935608864,"(109.0, 754.0, 37.0, 12.0)",Fittest
177,5,"""111000000101011101100000""",2.58714294434,"(109.0, 754.0, 35.0, 12.0)",Population
186,6,"""111000000101011101100000""",2.58714294434,"(109.0, 754.0, 35.0, 12.0)",Fittest
242,7,"""111011110010110111001101""",2.56546401978,"(114.0, 1131.0, 25.0, 8.0)",Population
248,8,"""111011110010110111001101""",2.56546401978,"(114.0, 1131.0, 25.0, 8.0)",Fittest
285,9,"""111000000101010101100100""",2.35071992874,"(109.0, 750.0, 37.0, 12.0)",Population
310,10,"""111000000101010101100100""",2.35071992874,"(109.0, 750.0, 37.0, 12.0)",Fittest
341,11,"""111000000101010101100100""",2.35071992874,"(109.0, 750.0, 37.0, 12.0)",Fittest
372,12,"""111000000101010101100100""",2.35071992874,"(109.0, 750.0, 37.0, 12.0)",Fittest
427,13,"""111110110110110111001101""",2.33791899681,"(119.0, 1244.0, 25.0, 8.0)",Population
434,14,"""111110110110110111001101""",2.33791899681,"(119.0, 1244.0, 25.0, 8.0)",Fittest
465,15,"""111110110110110111001101""",2.33791899681,"(119.0, 1244.0, 25.0, 8.0)",Fittest
525,16,"""111110110110110111001101""",2.17617702484,"(119.0, 1244.0, 25.0, 8.0)",Population
527,17,"""111110110110110111001101""",2.17617702484,"(119.0, 1244.0, 25.0, 8.0)",Fittest
583,18,"""111110110110110111101101""",2.15243291855,"(119.0, 1244.0, 41.0, 14.0)",Population
589,19,"""111110110110110111101101""",2.15243291855,"(119.0, 1244.0, 41.0, 14.0)",Fittest
620,20,"""111110110110110111101101""",2.15243291855,"(119.0, 1244.0, 41.0, 14.0)",Fittest
651,21,"""111110110110110111101101""",2.15243291855,"(119.0, 1244.0, 41.0, 14.0)",Fittest
682,22,"""111110110110110111101101""",2.15243291855,"(119.0, 1244.0, 41.0, 14.0)",Fittest
713,23,"""111110110110110111101101""",2.15243291855,"(119.0, 1244.0, 41.0, 14.0)",Fittest
744,24,"""111110110110110111101101""",2.15243291855,"(119.0, 1244.0, 41.0, 14.0)",Fittest
775,25,"""111110110110110111101101""",2.15243291855,"(119.0, 1244.0, 41.0, 14.0)",Fittest
806,26,"""111110110110110111101101""",2.15243291855,"(119.0, 1244.0, 41.0, 14.0)",Fittest
837,27,"""111110110110110111101101""",2.15243291855,"(119.0, 1244.0, 41.0, 14.0)",Fittest
868,28,"""111110110110110111101101""",2.15243291855,"(119.0, 1244.0, 41.0, 14.0)",Fittest
916,29,"""111110110110110111001101""",2.00099492073,"(119.0, 1244.0, 25.0, 8.0)",Population
