,Generation,Solution,Fitness,Parameters
2,0,"""100000001000011100""",1.5467209816,"(71.0, 838.0)"
5,1,"""101001110001100100""",0.995226979256,"(86.0, 1095.0)"
11,2,"""101001110001100100""",0.863192975521,"(86.0, 1095.0)"
14,3,"""101001110001011100""",1.05474495888,"(86.0, 1091.0)"
18,4,"""101001110001011100""",1.01875901222,"(86.0, 1091.0)"
22,5,"""101001110001100100""",1.00499403477,"(86.0, 1095.0)"
24,6,"""101001110001100100""",0.867597997189,"(86.0, 1095.0)"
28,7,"""101001110001100100""",0.903716027737,"(86.0, 1095.0)"
