Generation,Solution,Fitness,Parameters
0,001111110011111000,3.10565900803,"(45.0, 1160.0)"
0,000011101111011101,2.97141194344,"(26.0, 1035.0)"
0,111001101010111001,0.676515996456,"(111.0, 907.0)"
0,001101001000101010,2.3553340435,"(41.0, 844.0)"
0,010111010110101010,1.60779201984,"(57.0, 1238.0)"
0,110001000100011000,1.63703298569,"(98.0, 724.0)"
0,101111100011011001,1.63521802425,"(95.0, 696.0)"
0,011001101010101010,1.92183196545,"(61.0, 900.0)"
0,101111111111111111,2.82576203346,"(95.0, 1500.0)"
0,000110001000110110,2.08820390701,"(30.0, 849.0)"
0,111001101010111001,0.676515996456,"(111.0, 907.0)"
1,000101011011010111,8.68379592896,"(28.0, 1370.0)"
1,110010100111000010,0.984080970287,"(100.0, 798.0)"
1,100110100100111000,1.74144303799,"(81.0, 738.0)"
1,001111010111000111,3.8452539444,"(44.0, 1251.0)"
1,111001101010111001,0.676515996456,"(111.0, 907.0)"
2,001010100111110100,2.20305204391,"(37.0, 820.0)"
2,010100000011000100,1.71944499016,"(52.0, 687.0)"
2,110011111001010000,1.82378602028,"(102.0, 1311.0)"
2,001110010011101001,4.01332092285,"(43.0, 1153.0)"
2,111001101010111001,0.676515996456,"(111.0, 907.0)"
3,010111000100100100,2.27041697502,"(57.0, 729.0)"
3,101111010100011000,1.15427303314,"(95.0, 1174.0)"
3,111000001000110110,0.760429024696,"(109.0, 849.0)"
3,010100011111011001,2.81655907631,"(52.0, 1484.0)"
3,111001101010111001,0.676515996456,"(111.0, 907.0)"
4,001110101010000011,2.64001607895,"(43.0, 883.0)"
4,111001101010110010,0.871477007866,"(111.0, 904.0)"
4,101101100001011011,1.6082919836,"(92.0, 641.0)"
4,111011001011010100,0.801696002483,"(113.0, 919.0)"
4,000110001011001000,2.69314599037,"(30.0, 914.0)"
4,111001101010111001,0.676515996456,"(111.0, 907.0)"
