,Generation,Solution,Fitness,Parameters,Fittest
29,0,"""110100010000100110001101""",0.882809996605,"(102.0, 1067.0, 25.0, 8.0)",Population
53,1,"""110100110010101100001000""",0.805543005466,"(103.0, 1126.0, 23.0, 8.0)",Population
89,2,"""110100110010101100001000""",0.737766027451,"(103.0, 1126.0, 23.0, 8.0)",Population
93,3,"""110100110010101100001000""",0.737766027451,"(103.0, 1126.0, 23.0, 8.0)",Fittest
127,4,"""110110010000100010001101""",0.60543102026,"(106.0, 1066.0, 25.0, 8.0)",Population
155,5,"""110110010000100010001101""",0.60543102026,"(106.0, 1066.0, 25.0, 8.0)",Fittest
195,6,"""110100110010101100001000""",0.590453028679,"(103.0, 1126.0, 23.0, 8.0)",Population
217,7,"""110100110010101100001000""",0.590453028679,"(103.0, 1126.0, 23.0, 8.0)",Fittest
248,8,"""110100110010101100001000""",0.590453028679,"(103.0, 1126.0, 23.0, 8.0)",Fittest
279,9,"""110100110010101100001000""",0.590453028679,"(103.0, 1126.0, 23.0, 8.0)",Fittest
310,10,"""110100110010101100001000""",0.590453028679,"(103.0, 1126.0, 23.0, 8.0)",Fittest
341,11,"""110100110010101100001000""",0.590453028679,"(103.0, 1126.0, 23.0, 8.0)",Fittest
393,12,"""110110010000100010001100""",0.585097014904,"(106.0, 1066.0, 25.0, 8.0)",Population
403,13,"""110110010000100010001100""",0.585097014904,"(106.0, 1066.0, 25.0, 8.0)",Fittest
434,14,"""110110010000100010001100""",0.585097014904,"(106.0, 1066.0, 25.0, 8.0)",Fittest
474,15,"""110100010000100010001101""",0.496793985367,"(102.0, 1066.0, 25.0, 8.0)",Population
496,16,"""110100010000100010001101""",0.496793985367,"(102.0, 1066.0, 25.0, 8.0)",Fittest
527,17,"""110100010000100010001101""",0.496793985367,"(102.0, 1066.0, 25.0, 8.0)",Fittest
558,18,"""110100010000100010001101""",0.496793985367,"(102.0, 1066.0, 25.0, 8.0)",Fittest
589,19,"""110100010000100010001101""",0.496793985367,"(102.0, 1066.0, 25.0, 8.0)",Fittest
620,20,"""110100010000100010001101""",0.496793985367,"(102.0, 1066.0, 25.0, 8.0)",Fittest
651,21,"""110100010000100010001101""",0.496793985367,"(102.0, 1066.0, 25.0, 8.0)",Fittest
682,22,"""110100010000100010001101""",0.496793985367,"(102.0, 1066.0, 25.0, 8.0)",Fittest
713,23,"""110100010000100010001101""",0.496793985367,"(102.0, 1066.0, 25.0, 8.0)",Fittest
744,24,"""110100010000100010001101""",0.496793985367,"(102.0, 1066.0, 25.0, 8.0)",Fittest
775,25,"""110100010000100010001101""",0.496793985367,"(102.0, 1066.0, 25.0, 8.0)",Fittest
806,26,"""110100010000100010001101""",0.496793985367,"(102.0, 1066.0, 25.0, 8.0)",Fittest
837,27,"""110100010000100010001101""",0.496793985367,"(102.0, 1066.0, 25.0, 8.0)",Fittest
868,28,"""110100010000100010001101""",0.496793985367,"(102.0, 1066.0, 25.0, 8.0)",Fittest
899,29,"""110100010000100010001101""",0.496793985367,"(102.0, 1066.0, 25.0, 8.0)",Fittest
