,Generation,Solution,Fitness,Parameters,Fittest
18,0,"""100001000110011100001110""",0.683122992516,"(72.0, 782.0, 26.0, 9.0)",Population
31,1,"""100001000110011100001110""",0.683122992516,"(72.0, 782.0, 26.0, 9.0)",Fittest
71,2,"""110011100100111110011000""",0.571579992771,"(102.0, 740.0, 31.0, 10.0)",Population
93,3,"""110011100100111110011000""",0.571579992771,"(102.0, 740.0, 31.0, 10.0)",Fittest
124,4,"""110011100100111110011000""",0.571579992771,"(102.0, 740.0, 31.0, 10.0)",Fittest
155,5,"""110011100100111110011000""",0.571579992771,"(102.0, 740.0, 31.0, 10.0)",Fittest
186,6,"""110011100100111110011000""",0.571579992771,"(102.0, 740.0, 31.0, 10.0)",Fittest
217,7,"""110011100100111110011000""",0.571579992771,"(102.0, 740.0, 31.0, 10.0)",Fittest
248,8,"""110011100100111110011000""",0.571579992771,"(102.0, 740.0, 31.0, 10.0)",Fittest
279,9,"""110011100100111110011000""",0.571579992771,"(102.0, 740.0, 31.0, 10.0)",Fittest
310,10,"""110011100100111110011000""",0.571579992771,"(102.0, 740.0, 31.0, 10.0)",Fittest
368,11,"""110010100100111110000001""",0.50368899107,"(100.0, 740.0, 19.0, 6.0)",Population
372,12,"""110010100100111110000001""",0.50368899107,"(100.0, 740.0, 19.0, 6.0)",Fittest
403,13,"""110010100100111110000001""",0.50368899107,"(100.0, 740.0, 19.0, 6.0)",Fittest
434,14,"""110010100100111110000001""",0.50368899107,"(100.0, 740.0, 19.0, 6.0)",Fittest
465,15,"""110010100100111110000001""",0.50368899107,"(100.0, 740.0, 19.0, 6.0)",Fittest
519,16,"""110010100100111100000001""",0.47308498621,"(100.0, 739.0, 19.0, 6.0)",Population
527,17,"""110010100100111100000001""",0.47308498621,"(100.0, 739.0, 19.0, 6.0)",Fittest
558,18,"""110010100100111100000001""",0.47308498621,"(100.0, 739.0, 19.0, 6.0)",Fittest
589,19,"""110010100100111100000001""",0.47308498621,"(100.0, 739.0, 19.0, 6.0)",Fittest
620,20,"""110010100100111100000001""",0.47308498621,"(100.0, 739.0, 19.0, 6.0)",Fittest
651,21,"""110010100100111100000001""",0.47308498621,"(100.0, 739.0, 19.0, 6.0)",Fittest
682,22,"""110010100100111100000001""",0.47308498621,"(100.0, 739.0, 19.0, 6.0)",Fittest
713,23,"""110010100100111100000001""",0.47308498621,"(100.0, 739.0, 19.0, 6.0)",Fittest
744,24,"""110010100100111100000001""",0.47308498621,"(100.0, 739.0, 19.0, 6.0)",Fittest
775,25,"""110010100100111100000001""",0.47308498621,"(100.0, 739.0, 19.0, 6.0)",Fittest
806,26,"""110010100100111100000001""",0.47308498621,"(100.0, 739.0, 19.0, 6.0)",Fittest
837,27,"""110010100100111100000001""",0.47308498621,"(100.0, 739.0, 19.0, 6.0)",Fittest
868,28,"""110010100100111100000001""",0.47308498621,"(100.0, 739.0, 19.0, 6.0)",Fittest
899,29,"""110010100100111100000001""",0.47308498621,"(100.0, 739.0, 19.0, 6.0)",Fittest
