Generation,Solution,Fitness,Parameters,Fittest
0,"""101000010111110100110100""",0.7694870233535767,"(83.0, 1271.0, 45.0, 15.0)",Fittest
0,"""100011100111010000111000""",0.7830449938774109,"(76.0, 805.0, 47.0, 16.0)",Elite
0,"""100000010000111101110010""",0.806751012802124,"(71.0, 1078.0, 44.0, 15.0)",Elite
0,"""101000010111110100110100""",0.8997769951820374,"(83.0, 1271.0, 45.0, 15.0)",Population
0,"""101100010100111001111110""",0.6521090269088745,"(90.0, 1188.0, 50.0, 17.0)",Population
0,"""110111101011101010100111""",0.9268370270729065,"(108.0, 928.0, 38.0, 13.0)",Population
0,"""100000010100111101110010""",1.2756880521774292,"(71.0, 1190.0, 44.0, 15.0)",Population
0,"""110001001001000011100100""",0.8149600028991699,"(98.0, 855.0, 37.0, 12.0)",Population
0,"""101000010111110100110100""",0.8883219957351685,"(83.0, 1271.0, 45.0, 15.0)",Population
0,"""100000100010111010101001""",0.9433259963989258,"(72.0, 682.0, 39.0, 13.0)",Population
0,"""101000010111110100110100""",1.0642880201339722,"(83.0, 1271.0, 45.0, 15.0)",Population
0,"""101100010100011001111110""",0.5597479939460754,"(90.0, 1174.0, 50.0, 17.0)",Population
0,"""110111101011101010100111""",0.8207319974899292,"(108.0, 928.0, 38.0, 13.0)",Population
0,"""100010000100101110111000""",0.7132350206375122,"(74.0, 733.0, 47.0, 16.0)",Population
0,"""100011100111010000111000""",0.9995629787445068,"(76.0, 805.0, 47.0, 16.0)",Population
0,"""101100010100111001111110""",0.47038498520851135,"(90.0, 1188.0, 50.0, 17.0)",Population
0,"""100011100111010000111000""",0.8673989772796631,"(76.0, 805.0, 47.0, 16.0)",Population
0,"""101000010111110100110100""",0.9455369710922241,"(83.0, 1271.0, 45.0, 15.0)",Population
0,"""100011000111010000111000""",0.8600209951400757,"(76.0, 805.0, 47.0, 16.0)",Population
0,"""100000010000111101110010""",1.3537169694900513,"(71.0, 1078.0, 44.0, 15.0)",Population
0,"""101000010111110100110101""",1.3016070127487183,"(83.0, 1271.0, 45.0, 15.0)",Population
0,"""101000010001111101110000""",1.1084400415420532,"(83.0, 1106.0, 43.0, 15.0)",Population
0,"""110001110001101010101010""",1.0611319541931152,"(98.0, 1097.0, 40.0, 14.0)",Population
0,"""100011100111010000111000""",0.724353015422821,"(76.0, 805.0, 47.0, 16.0)",Population
0,"""101000010111110100110100""",1.089750051498413,"(83.0, 1271.0, 45.0, 15.0)",Population
0,"""101000010111110100110100""",0.7105559706687927,"(83.0, 1271.0, 45.0, 15.0)",Population
0,"""100011100111010000111000""",0.9706869721412659,"(76.0, 805.0, 47.0, 16.0)",Population
0,"""101000100010111010101001""",1.1868849992752075,"(84.0, 682.0, 39.0, 13.0)",Population
0,"""010110010001010101100011""",1.3058439493179321,"(55.0, 1088.0, 36.0, 12.0)",Population
0,"""001000010111110100110100""",1.7122650146484375,"(33.0, 1271.0, 45.0, 15.0)",Population
0,"""011110010001010101100011""",1.293138027191162,"(68.0, 1088.0, 36.0, 12.0)",Population
1,"""101100010100111001111110""",0.47038498520851135,"(90.0, 1188.0, 50.0, 17.0)",Fittest
1,"""101100010100011001111110""",0.5597479939460754,"(90.0, 1174.0, 50.0, 17.0)",Elite
1,"""101100010100111001111110""",0.6521090269088745,"(90.0, 1188.0, 50.0, 17.0)",Elite
1,"""101100010100111001111110""",0.7433109879493713,"(90.0, 1188.0, 50.0, 17.0)",Population
1,"""101000010111110100110100""",1.0611369609832764,"(83.0, 1271.0, 45.0, 15.0)",Population
1,"""101100010100011001111110""",0.7967889904975891,"(90.0, 1174.0, 50.0, 17.0)",Population
1,"""101100010100111001111110""",0.44652101397514343,"(90.0, 1188.0, 50.0, 17.0)",Population
1,"""101100010100111001111110""",0.5701730251312256,"(90.0, 1188.0, 50.0, 17.0)",Population
1,"""101000010111110100110100""",38.641387939453125,"(83.0, 1271.0, 45.0, 15.0)",Population
1,"""101000010111110100110100""",0.9682890176773071,"(83.0, 1271.0, 45.0, 15.0)",Population
1,"""100011100111010000111000""",1.030822992324829,"(76.0, 805.0, 47.0, 16.0)",Population
1,"""110001001001000011100100""",0.762628972530365,"(98.0, 855.0, 37.0, 12.0)",Population
1,"""100011100111010000111010""",0.9790390133857727,"(76.0, 805.0, 48.0, 16.0)",Population
1,"""101000010111110100110100""",0.8715350031852722,"(83.0, 1271.0, 45.0, 15.0)",Population
1,"""110111101011101010100111""",0.9837369918823242,"(108.0, 928.0, 38.0, 13.0)",Population
1,"""101100010100011000111110""",0.4494650065898895,"(90.0, 1174.0, 50.0, 17.0)",Population
1,"""101000010111110100110100""",0.8582220077514648,"(83.0, 1271.0, 45.0, 15.0)",Population
1,"""110001001001000011100100""",0.9762319922447205,"(98.0, 855.0, 37.0, 12.0)",Population
1,"""101100010100111001111100""",0.49172401428222656,"(90.0, 1188.0, 49.0, 17.0)",Population
1,"""101100010100111001111110""",0.6588960289955139,"(90.0, 1188.0, 50.0, 17.0)",Population
1,"""100010010000111101110010""",1.258847951889038,"(74.0, 1078.0, 44.0, 15.0)",Population
1,"""101100010100111001111110""",0.6037499904632568,"(90.0, 1188.0, 50.0, 17.0)",Population
1,"""101000010111110100110100""",1.214473009109497,"(83.0, 1271.0, 45.0, 15.0)",Population
1,"""101000010111110100100100""",1.1200560331344604,"(83.0, 1271.0, 37.0, 12.0)",Population
1,"""100011100110010000111000""",0.9078320264816284,"(76.0, 776.0, 47.0, 16.0)",Population
1,"""101100010110111001111110""",0.5248519778251648,"(90.0, 1245.0, 50.0, 17.0)",Population
1,"""110001001001000011100100""",0.8737779855728149,"(98.0, 855.0, 37.0, 12.0)",Population
1,"""101100010100111011111110""",0.46670299768447876,"(90.0, 1189.0, 50.0, 17.0)",Population
1,"""101000010110110100110100""",0.9739850163459778,"(83.0, 1242.0, 45.0, 15.0)",Population
1,"""101000010111110100110100""",0.8333849906921387,"(83.0, 1271.0, 45.0, 15.0)",Population
1,"""111001001001000011100100""",0.8428919911384583,"(110.0, 855.0, 37.0, 12.0)",Population
2,"""101100010100111001111110""",0.44652101397514343,"(90.0, 1188.0, 50.0, 17.0)",Fittest
2,"""101100010100011000111110""",0.4494650065898895,"(90.0, 1174.0, 50.0, 17.0)",Elite
2,"""101100010100111011111110""",0.46670299768447876,"(90.0, 1189.0, 50.0, 17.0)",Elite
2,"""101100110000111001111110""",0.8896399736404419,"(91.0, 1076.0, 50.0, 17.0)",Population
2,"""101100010100011001111110""",0.5148299932479858,"(90.0, 1174.0, 50.0, 17.0)",Population
2,"""101100010100111001111110""",0.49971601366996765,"(90.0, 1188.0, 50.0, 17.0)",Population
2,"""101100010110111001111110""",0.8046810030937195,"(90.0, 1245.0, 50.0, 17.0)",Population
2,"""101100010100011001111110""",0.6391350030899048,"(90.0, 1174.0, 50.0, 17.0)",Population
2,"""101000010111110100111100""",0.7898629903793335,"(83.0, 1271.0, 49.0, 17.0)",Population
2,"""101100010100111101111110""",0.7387599945068359,"(90.0, 1190.0, 50.0, 17.0)",Population
2,"""101000010111010100110100""",1.1206790208816528,"(83.0, 1256.0, 45.0, 15.0)",Population
2,"""101100010100111001111110""",0.6054239869117737,"(90.0, 1188.0, 50.0, 17.0)",Population
2,"""101100010100111011011110""",1.1657520532608032,"(90.0, 1189.0, 34.0, 11.0)",Population
2,"""101000010100111011111110""",0.5214470028877258,"(83.0, 1189.0, 50.0, 17.0)",Population
2,"""101100010110111001111010""",0.6807649731636047,"(90.0, 1245.0, 48.0, 16.0)",Population
2,"""101100010100111001111100""",0.7319409847259521,"(90.0, 1188.0, 49.0, 17.0)",Population
2,"""101100010100111001111110""",0.6916210055351257,"(90.0, 1188.0, 50.0, 17.0)",Population
2,"""101100010100011001111110""",0.612663984298706,"(90.0, 1174.0, 50.0, 17.0)",Population
2,"""101100010100111001111110""",0.6122440099716187,"(90.0, 1188.0, 50.0, 17.0)",Population
2,"""101100010100111011111110""",0.8506489992141724,"(90.0, 1189.0, 50.0, 17.0)",Population
