frame,timestamp,acc x (m/s^2),acc y (m/s^2),acc z (m/s^2),gyro x (rad/s),gyro y (rad/s),gyro z (rad/s)
251,5.682100341189653,71748.4375,1028636.6875,-10009.798828125,0.0,0.0,0.0
252,5.692100340966135,0.0,0.0,-9.80062484741211,0.0,0.0,0.0
253,5.702100340742618,0.0,0.0,-9.7993745803833,0.0,0.0,0.0
254,5.7121003405191,0.0,0.0,-9.80062484741211,0.0,0.0,0.0
255,5.722100340295583,0.0,0.0,-9.798749923706055,0.0,0.0,0.0
256,5.732100340072066,0.0,0.0,-9.801249504089355,0.0,0.0,0.0
257,5.742100339848548,0.0,0.0,-9.7993745803833,0.0,0.0,0.0
258,5.752100339625031,0.0,0.0,-9.800000190734863,0.0,0.0,0.0
259,5.762100339401513,0.0,0.0,-9.800000190734863,0.0,0.0,0.0
260,5.772100339177996,0.0,0.0,-9.800000190734863,0.0,0.0,0.0
261,5.7821003389544785,0.0,0.0,-9.7993745803833,0.0,0.0,0.0
262,5.792100338730961,0.0,0.0,-9.801249504089355,0.0,0.0,0.0
263,5.802100338507444,0.0,0.0,-9.798749923706055,0.0,0.0,0.0
264,5.812100338283926,0.0,0.0,-9.80062484741211,0.0,0.0,0.0
265,5.822100338060409,0.0,0.0,-9.7993745803833,0.0,0.0,0.0
266,5.832100337836891,0.0,0.0,-9.80062484741211,0.0,0.0,0.0
267,5.842100337613374,0.0,0.0,-19.610624313354492,0.0,0.0,0.0
267,5.842100337613374,0.0,0.0,-19.610624313354492,0.0,0.0,0.0
269,5.862100337166339,0.0,0.0,-9.7993745803833,0.0,0.0,0.0
270,5.872100336942822,0.0,0.0,-9.800000190734863,0.0,0.0,0.0
271,5.882100336719304,0.0,0.0,-9.801249504089355,0.0,0.0,0.0
272,5.892100336495787,0.0,0.0,-9.7993745803833,0.0,0.0,0.0
273,5.9021003362722695,0.0,0.0,-9.798749923706055,0.0,0.0,0.0
274,5.912100336048752,0.0,0.0,-9.801249504089355,0.0,0.0,0.0
275,5.922100335825235,0.0,0.0,-9.800000190734863,0.0,0.0,0.0
276,5.932100335601717,0.0,0.0,-9.800000190734863,0.0,0.0,0.0
277,5.9421003353782,0.0,0.0,-9.80062484741211,0.0,0.0,0.0
278,5.952100335154682,0.0,0.0,-9.7993745803833,0.0,0.0,0.0
279,5.962100334931165,0.0,0.0,-9.80062484741211,0.0,0.0,0.0
280,5.972100334707648,0.0,0.0,-9.7993745803833,0.0,0.0,0.0
281,5.98210033448413,0.0,0.0,-9.800312042236328,0.0,0.0,0.0
282,5.992100334260613,0.0,0.0,-9.799687385559082,0.0,0.0,0.0
283,6.002100334037095,0.0,0.0,-9.800000190734863,0.0,0.0,0.0
284,6.012100333813578,0.0,0.0,-9.800000190734863,0.0,0.0,0.0
285,6.0221003335900605,0.0,0.0,-9.800000190734863,0.0,0.0,0.0
286,6.032100333366543,0.0,0.0,-9.800000190734863,0.0,0.0,0.0
287,6.042100333143026,0.0,0.0,-19.610000610351562,0.0,0.0,0.0
287,6.042100333143026,0.0,0.0,-19.610000610351562,0.0,0.0,0.0
289,6.062100332695991,0.0,0.0,-9.800000190734863,0.0,0.0,0.0
290,6.072100332472473,0.0,0.0,-9.799843788146973,0.0,0.0,0.0
291,6.082100332248956,0.0,0.0,-9.800077438354492,0.0,0.0,0.0
292,6.0921003320254385,0.0,0.0,-19.609922409057617,0.0,0.0,0.0
292,6.0921003320254385,0.0,0.0,-19.609922409057617,0.0,0.0,0.0
293,6.102100331801921,0.0,0.0,52.794647216796875,-6.104689418862108e-06,-3.296806426078547e-06,-5.182936302361441e-10
294,6.112100331578404,0.0,0.0,59.81061935424805,-4.8939764383248985e-06,-2.0104316718061455e-06,3.498628053932862e-10
296,6.132100331131369,0.0,0.0,45.29761505126953,-4.706337676907424e-06,-1.878730927273864e-06,2.0075274775877006e-11
297,6.1421003309078515,0.0,0.0,29.47414207458496,-3.103971039308817e-06,-1.2406501355144428e-06,3.06126013427388e-10
297,6.1421003309078515,0.0,0.0,29.47414207458496,-3.103971039308817e-06,-1.2406501355144428e-06,3.06126013427388e-10
299,6.162100330460817,0.0,0.0,14.905545234680176,-1.0634641967044445e-06,-6.135342118795961e-07,8.772091386610725e-11
300,6.172100330237299,0.0,0.0,241.40054321289062,0.24743513762950897,-0.11315570771694183,-0.00031055600265972316
301,6.182100330013782,1.3305623531341553,-3.6139373779296875,-106.94355010986328,0.08705659210681915,-0.03642766922712326,6.963001214899123e-05
302,6.192100329790264,-0.18281865119934082,3.3839054107666016,3.837846279144287,0.07793574035167694,-0.031417928636074066,-4.826638178201392e-05
303,6.202100329566747,-0.2975463569164276,0.11122205853462219,3.2212328910827637,0.0584510900080204,-0.02346644178032875,-4.576784704113379e-05
304,6.2121003293432295,-0.21162888407707214,0.03434529900550842,2.517845630645752,0.0427447184920311,-0.017092743888497353,-4.1886007238645107e-05
305,6.222100329119712,-0.18142449855804443,-0.043935343623161316,1.9123616218566895,0.030177241191267967,-0.012001145631074905,-3.4388423955533653e-05
306,6.232100328896195,-0.1350625455379486,0.11649321764707565,1.397956371307373,0.02016954869031906,-0.007954280823469162,-2.5461369659751654e-05
307,6.242100328672677,-0.09565497189760208,0.036168456077575684,0.9640220999717712,0.012238435447216034,-0.004752888344228268,-1.673974475124851e-05
308,6.25210032844916,-0.08591246604919434,0.03550977259874344,0.5955728888511658,0.0059923939406871796,-0.0022368738427758217,-9.037431482283864e-06
