,Generation,Solution,Fitness,Parameters,Fittest
0,0,"""101001101010100000100100""",1.01160502434,"(86.0, 896.0, 37.0, 12.0)",Fittest
31,1,"""101001101010100000100100""",1.01160502434,"(86.0, 896.0, 37.0, 12.0)",Fittest
62,2,"""101001101010100000100100""",1.01160502434,"(86.0, 896.0, 37.0, 12.0)",Fittest
103,3,"""111001101010100101100100""",1.00237894058,"(111.0, 898.0, 37.0, 12.0)",Population
151,4,"""111001101010100101100100""",0.920297026634,"(111.0, 898.0, 37.0, 12.0)",Population
169,5,"""111001101010100101100100""",0.805880010128,"(111.0, 898.0, 37.0, 12.0)",Population
195,6,"""111001101010100101100100""",0.779443979263,"(111.0, 898.0, 37.0, 12.0)",Population
217,7,"""111001101010100101100100""",0.779443979263,"(111.0, 898.0, 37.0, 12.0)",Fittest
248,8,"""111001101010100101100100""",0.779443979263,"(111.0, 898.0, 37.0, 12.0)",Fittest
300,9,"""111001101010100101100100""",0.762678980827,"(111.0, 898.0, 37.0, 12.0)",Population
310,10,"""111001101010100101100100""",0.762678980827,"(111.0, 898.0, 37.0, 12.0)",Fittest
341,11,"""111001101010100101100100""",0.762678980827,"(111.0, 898.0, 37.0, 12.0)",Fittest
372,12,"""111001101010100101100100""",0.762678980827,"(111.0, 898.0, 37.0, 12.0)",Fittest
403,13,"""111001101010100101100100""",0.762678980827,"(111.0, 898.0, 37.0, 12.0)",Fittest
438,14,"""111001101010100101100100""",0.755451023579,"(111.0, 898.0, 37.0, 12.0)",Population
481,15,"""111001101010000101100100""",0.745410978794,"(111.0, 884.0, 37.0, 12.0)",Population
496,16,"""111001101010000101100100""",0.745410978794,"(111.0, 884.0, 37.0, 12.0)",Fittest
527,17,"""111001101010000101100100""",0.745410978794,"(111.0, 884.0, 37.0, 12.0)",Fittest
558,18,"""111001101010000101100100""",0.745410978794,"(111.0, 884.0, 37.0, 12.0)",Fittest
611,19,"""111001101010000011101100""",0.699928998947,"(111.0, 883.0, 41.0, 14.0)",Population
620,20,"""111001101010000011101100""",0.699928998947,"(111.0, 883.0, 41.0, 14.0)",Fittest
651,21,"""111001101010000011101100""",0.699928998947,"(111.0, 883.0, 41.0, 14.0)",Fittest
682,22,"""111001101010000011101100""",0.699928998947,"(111.0, 883.0, 41.0, 14.0)",Fittest
713,23,"""111001101010000011101100""",0.699928998947,"(111.0, 883.0, 41.0, 14.0)",Fittest
744,24,"""111001101010000011101100""",0.699928998947,"(111.0, 883.0, 41.0, 14.0)",Fittest
775,25,"""111001101010000011101100""",0.699928998947,"(111.0, 883.0, 41.0, 14.0)",Fittest
806,26,"""111001101010000011101100""",0.699928998947,"(111.0, 883.0, 41.0, 14.0)",Fittest
837,27,"""111001101010000011101100""",0.699928998947,"(111.0, 883.0, 41.0, 14.0)",Fittest
868,28,"""111001101010000011101100""",0.699928998947,"(111.0, 883.0, 41.0, 14.0)",Fittest
899,29,"""111001101010000011101100""",0.699928998947,"(111.0, 883.0, 41.0, 14.0)",Fittest
