,Generation,Solution,Fitness,Parameters
2,0,"""110011100100101110000001""",1.13833904266,"(102.0, 733.0, 19.0, 6.0)"
16,1,"""101000101100100111000100""",1.25865900517,"(84.0, 955.0, 21.0, 7.0)"
25,2,"""110011100100101110000001""",1.03895795345,"(102.0, 733.0, 19.0, 6.0)"
30,3,"""100100110011011010001010""",1.27457594872,"(78.0, 1147.0, 24.0, 8.0)"
38,4,"""110011100100101110000001""",0.917897999287,"(102.0, 733.0, 19.0, 6.0)"
50,5,"""110011100100101110000001""",1.04139494896,"(102.0, 733.0, 19.0, 6.0)"
62,6,"""110011100100101110000001""",1.18750202656,"(102.0, 733.0, 19.0, 6.0)"
67,7,"""101011111000101000001111""",1.24493896961,"(89.0, 1293.0, 26.0, 9.0)"
