Generation,Solution,Fitness,Parameters
0,"""000111101001111000""",2.2064859867095947,"(32.0, 878.0)"
0,"""101100011111000111""",2.0910708904266357,"(90.0, 1476.0)"
0,"""001100011111000111""",7.919026851654053,"(39.0, 1476.0)"
0,"""100011101000001101""",1.2301909923553467,"(76.0, 831.0)"
1,"""001011101000001101""",2.3574860095977783,"(39.0, 831.0)"
1,"""100010100100001000""",1.4375430345535278,"(75.0, 717.0)"
1,"""101100011111000111""",1.95510995388031,"(90.0, 1476.0)"
1,"""100011101001111000""",1.6048680543899536,"(76.0, 878.0)"
2,"""100010100100001000""",1.854009985923767,"(75.0, 717.0)"
2,"""100011101001111000""",1.586225986480713,"(76.0, 878.0)"
2,"""100100011111000111""",2.2048370838165283,"(77.0, 1476.0)"
2,"""001011101000001101""",2.1762518882751465,"(39.0, 831.0)"
3,"""100011101000001101""",1.5824389457702637,"(76.0, 831.0)"
3,"""100011100100001000""",1.6476449966430664,"(76.0, 717.0)"
3,"""100011101001111000""",1.5583829879760742,"(76.0, 878.0)"
3,"""101011101010001101""",0.8836339712142944,"(89.0, 888.0)"
4,"""100011101001111101""",1.6094839572906494,"(76.0, 881.0)"
4,"""101011101000001001""",1.2299909591674805,"(89.0, 830.0)"
4,"""100011101010001101""",1.1039350032806396,"(76.0, 888.0)"
4,"""100011101010001101""",1.387294054031372,"(76.0, 888.0)"
5,"""100011101010001101""",1.542472004890442,"(76.0, 888.0)"
5,"""101010101010001101""",1.1374640464782715,"(87.0, 888.0)"
5,"""101011101000001001""",1.225409984588623,"(89.0, 830.0)"
5,"""100011101010001101""",1.4376250505447388,"(76.0, 888.0)"
6,"""101011101010001101""",1.2349729537963867,"(89.0, 888.0)"
6,"""100011101010001101""",1.634850025177002,"(76.0, 888.0)"
6,"""101010101010001101""",1.1872440576553345,"(87.0, 888.0)"
6,"""101010101010001001""",1.102200984954834,"(87.0, 886.0)"
7,"""001011101010001001""",2.013195037841797,"(39.0, 886.0)"
7,"""101010101010001101""",1.1285959482192993,"(87.0, 888.0)"
7,"""101011101010001001""",1.1747239828109741,"(89.0, 886.0)"
7,"""101010101010001101""",1.2622590065002441,"(87.0, 888.0)"
*,*,*,*
0,"""100011101000001101""",1.2301909923553467,"(76.0, 831.0)"
1,"""100011101000001101""",1.2301909923553467,"(76.0, 831.0)"
2,"""100011101000001101""",1.2301909923553467,"(76.0, 831.0)"
3,"""101011101010001101""",0.8836339712142944,"(89.0, 888.0)"
4,"""101011101010001101""",0.8836339712142944,"(89.0, 888.0)"
5,"""101011101010001101""",0.8836339712142944,"(89.0, 888.0)"
6,"""101011101010001101""",0.8836339712142944,"(89.0, 888.0)"
7,"""101011101010001101""",0.8836339712142944,"(89.0, 888.0)"
