Generation,Solution,Fitness,Parameters
0,011110011111000011,1.8127939701080322,"(68.0, 1474.0)"
0,000101000010111100,1.9920660257339478,"(28.0, 683.0)"
0,111101101011100100,5.118712902069092,"(117.0, 926.0)"
0,001110000110010011,2.147439956665039,"(43.0, 778.0)"
0,111001000000110010,1.8512680530548096,"(110.0, 622.0)"
0,111001110110110101,1.825279951095581,"(111.0, 1243.0)"
0,001010100010000111,2.0501110553741455,"(37.0, 660.0)"
0,100110010111000010,1.4113010168075562,"(80.0, 1249.0)"
0,100010101011001000,1.6212669610977173,"(75.0, 914.0)"
1,010101011101101001,1.8688809871673584,"(54.0, 1435.0)"
1,110110100000101101,1.7839930057525635,"(106.0, 620.0)"
1,110100001011101100,0.868183970451355,"(102.0, 929.0)"
1,101010011010110000,1.5709669589996338,"(87.0, 1353.0)"
2,011001110000101100,1.7519409656524658,"(61.0, 1070.0)"
2,001100100110110101,2.655082941055298,"(40.0, 793.0)"
2,111100001100110111,0.9773709774017334,"(115.0, 962.0)"
2,000100101001111111,2.7713489532470703,"(28.0, 881.0)"
3,101100010010011110,1.0466049909591675,"(90.0, 1120.0)"
3,100100111001110111,1.5422430038452148,"(78.0, 1328.0)"
3,101101000111000110,1.4240200519561768,"(91.0, 800.0)"
3,101001101100010101,1.276007056236267,"(86.0, 947.0)"
4,101001111011110010,1.7655199766159058,"(86.0, 1382.0)"
4,100100010001011100,1.106650948524475,"(77.0, 1091.0)"
4,100000100000101010,2.034459114074707,"(72.0, 619.0)"
4,011111111011010111,1.5916939973831177,"(70.0, 1370.0)"
*,*,*,*
0,000101000010100011,1.4113010168075562,"(28.0, 672.0)"
1,000101000010100011,0.868183970451355,"(28.0, 672.0)"
2,000101000010100011,0.868183970451355,"(28.0, 672.0)"
3,000101000010100011,0.868183970451355,"(28.0, 672.0)"
4,000101000010100011,0.868183970451355,"(28.0, 672.0)"
