,Generation,Solution,Fitness,Parameters,Fittest
5,0,"""010000001010100101001001""",0.721675992012,"(46.0, 898.0, 23.0, 8.0)",Population
58,1,"""101010000000010110010110""",0.704288005829,"(87.0, 610.0, 30.0, 10.0)",Population
62,2,"""101010000000010110010110""",0.704288005829,"(87.0, 610.0, 30.0, 10.0)",Fittest
93,3,"""101010000000010110010110""",0.704288005829,"(87.0, 610.0, 30.0, 10.0)",Fittest
132,4,"""101010000000010110010110""",0.60977101326,"(87.0, 610.0, 30.0, 10.0)",Population
155,5,"""101010000000010110010110""",0.60977101326,"(87.0, 610.0, 30.0, 10.0)",Fittest
186,6,"""101010000000010110010110""",0.60977101326,"(87.0, 610.0, 30.0, 10.0)",Fittest
217,7,"""101010000000010110010110""",0.60977101326,"(87.0, 610.0, 30.0, 10.0)",Fittest
259,8,"""101010000100010110010110""",0.548833012581,"(87.0, 723.0, 30.0, 10.0)",Population
279,9,"""101010000100010110010110""",0.548833012581,"(87.0, 723.0, 30.0, 10.0)",Fittest
310,10,"""101010000100010110010110""",0.548833012581,"(87.0, 723.0, 30.0, 10.0)",Fittest
341,11,"""101010000100010110010110""",0.548833012581,"(87.0, 723.0, 30.0, 10.0)",Fittest
392,12,"""101010000100010110000110""",0.548196971416,"(87.0, 723.0, 22.0, 7.0)",Population
403,13,"""101010000100010110000110""",0.548196971416,"(87.0, 723.0, 22.0, 7.0)",Fittest
434,14,"""101010000100010110000110""",0.548196971416,"(87.0, 723.0, 22.0, 7.0)",Fittest
465,15,"""101010000100010110000110""",0.548196971416,"(87.0, 723.0, 22.0, 7.0)",Fittest
496,16,"""101010000100010110000110""",0.548196971416,"(87.0, 723.0, 22.0, 7.0)",Fittest
527,17,"""101010000100010110000110""",0.548196971416,"(87.0, 723.0, 22.0, 7.0)",Fittest
558,18,"""101010000100010110000110""",0.548196971416,"(87.0, 723.0, 22.0, 7.0)",Fittest
589,19,"""101010000100010110000110""",0.548196971416,"(87.0, 723.0, 22.0, 7.0)",Fittest
620,20,"""101010000100010110000110""",0.548196971416,"(87.0, 723.0, 22.0, 7.0)",Fittest
651,21,"""101010000100010110000110""",0.548196971416,"(87.0, 723.0, 22.0, 7.0)",Fittest
682,22,"""101010000100010110000110""",0.548196971416,"(87.0, 723.0, 22.0, 7.0)",Fittest
713,23,"""101010000100010110000110""",0.548196971416,"(87.0, 723.0, 22.0, 7.0)",Fittest
744,24,"""101010000100010110000110""",0.548196971416,"(87.0, 723.0, 22.0, 7.0)",Fittest
775,25,"""101010000100010110000110""",0.548196971416,"(87.0, 723.0, 22.0, 7.0)",Fittest
824,26,"""111111000100010010000110""",0.534727990627,"(120.0, 721.0, 22.0, 7.0)",Population
837,27,"""111111000100010010000110""",0.534727990627,"(120.0, 721.0, 22.0, 7.0)",Fittest
868,28,"""111111000100010010000110""",0.534727990627,"(120.0, 721.0, 22.0, 7.0)",Fittest
899,29,"""111111000100010010000110""",0.534727990627,"(120.0, 721.0, 22.0, 7.0)",Fittest
