,Generation,Solution,Fitness,Parameters,Fittest
25,0,"""111101101100011101100100""",0.585940003395,"(117.0, 951.0, 37.0, 12.0)",Population
57,1,"""111101101100011101100100""",0.503273010254,"(117.0, 951.0, 37.0, 12.0)",Population
66,2,"""000101101110100000010100""",0.484102994204,"(29.0, 1009.0, 29.0, 10.0)",Population
93,3,"""000101101110100000010100""",0.484102994204,"(29.0, 1009.0, 29.0, 10.0)",Fittest
124,4,"""000101101110100000010100""",0.484102994204,"(29.0, 1009.0, 29.0, 10.0)",Fittest
155,5,"""000101101110100000010100""",0.484102994204,"(29.0, 1009.0, 29.0, 10.0)",Fittest
186,6,"""000101101110100000010100""",0.484102994204,"(29.0, 1009.0, 29.0, 10.0)",Fittest
217,7,"""000101101110100000010100""",0.484102994204,"(29.0, 1009.0, 29.0, 10.0)",Fittest
248,8,"""000101101110100000010100""",0.484102994204,"(29.0, 1009.0, 29.0, 10.0)",Fittest
279,9,"""000101101110100000010100""",0.484102994204,"(29.0, 1009.0, 29.0, 10.0)",Fittest
310,10,"""000101101110100000010100""",0.484102994204,"(29.0, 1009.0, 29.0, 10.0)",Fittest
341,11,"""000101101110100000010100""",0.484102994204,"(29.0, 1009.0, 29.0, 10.0)",Fittest
372,12,"""000101101110100000010100""",0.484102994204,"(29.0, 1009.0, 29.0, 10.0)",Fittest
403,13,"""000101101110100000010100""",0.484102994204,"(29.0, 1009.0, 29.0, 10.0)",Fittest
434,14,"""000101101110100000010100""",0.484102994204,"(29.0, 1009.0, 29.0, 10.0)",Fittest
478,15,"""111101101100010101100100""",0.469116002321,"(117.0, 947.0, 37.0, 12.0)",Population
496,16,"""111101101100010101100100""",0.469116002321,"(117.0, 947.0, 37.0, 12.0)",Fittest
527,17,"""111101101100010101100100""",0.469116002321,"(117.0, 947.0, 37.0, 12.0)",Fittest
558,18,"""111101101100010101100100""",0.469116002321,"(117.0, 947.0, 37.0, 12.0)",Fittest
589,19,"""111101101100010101100100""",0.469116002321,"(117.0, 947.0, 37.0, 12.0)",Fittest
620,20,"""111101101100010101100100""",0.469116002321,"(117.0, 947.0, 37.0, 12.0)",Fittest
651,21,"""111101101100010101100100""",0.469116002321,"(117.0, 947.0, 37.0, 12.0)",Fittest
682,22,"""111101101100010101100100""",0.469116002321,"(117.0, 947.0, 37.0, 12.0)",Fittest
713,23,"""111101101100010101100100""",0.469116002321,"(117.0, 947.0, 37.0, 12.0)",Fittest
744,24,"""111101101100010101100100""",0.469116002321,"(117.0, 947.0, 37.0, 12.0)",Fittest
775,25,"""111101101100010101100100""",0.469116002321,"(117.0, 947.0, 37.0, 12.0)",Fittest
806,26,"""111101101100010101100100""",0.469116002321,"(117.0, 947.0, 37.0, 12.0)",Fittest
837,27,"""111101101100010101100100""",0.469116002321,"(117.0, 947.0, 37.0, 12.0)",Fittest
868,28,"""111101101100010101100100""",0.469116002321,"(117.0, 947.0, 37.0, 12.0)",Fittest
920,29,"""111111101110100001010100""",0.466390997171,"(120.0, 1009.0, 29.0, 10.0)",Population
