,Generation,Solution,Fitness,Parameters,Fittest
0,0,"""111101010101100111111100""",1.37599003315,"(117.0, 1209.0, 49.0, 17.0)",Fittest
13,1,"""111000010011100111110011""",1.36043000221,"(109.0, 1152.0, 44.0, 15.0)",Population
21,2,"""101110001101100111001010""",0.92427200079,"(93.0, 983.0, 24.0, 8.0)",Population
24,3,"""101110001101100111001010""",0.92427200079,"(93.0, 983.0, 24.0, 8.0)",Fittest
32,4,"""101110001101100111001010""",0.92427200079,"(93.0, 983.0, 24.0, 8.0)",Fittest
40,5,"""101110001101100111001010""",0.92427200079,"(93.0, 983.0, 24.0, 8.0)",Fittest
