,Generation,Solution,Fitness,Parameters,Fittest
5,0,"""111001001101100011010011""",0.866775989532,"(110.0, 982.0, 28.0, 9.0)",Population
44,1,"""111001001101100001010011""",0.650056004524,"(110.0, 981.0, 28.0, 9.0)",Population
62,2,"""111001001101100001010011""",0.650056004524,"(110.0, 981.0, 28.0, 9.0)",Fittest
93,3,"""111001001101100001010011""",0.650056004524,"(110.0, 981.0, 28.0, 9.0)",Fittest
152,4,"""111101001101100011010011""",0.559180021286,"(117.0, 982.0, 28.0, 9.0)",Population
155,5,"""111101001101100011010011""",0.559180021286,"(117.0, 982.0, 28.0, 9.0)",Fittest
186,6,"""111101001101100011010011""",0.559180021286,"(117.0, 982.0, 28.0, 9.0)",Fittest
217,7,"""111101001101100011010011""",0.559180021286,"(117.0, 982.0, 28.0, 9.0)",Fittest
268,8,"""111001001101100001000011""",0.558265984058,"(110.0, 981.0, 20.0, 7.0)",Population
279,9,"""111001001101100001000011""",0.558265984058,"(110.0, 981.0, 20.0, 7.0)",Fittest
324,10,"""111101001101100011010011""",0.525407016277,"(117.0, 982.0, 28.0, 9.0)",Population
341,11,"""111101001101100011010011""",0.525407016277,"(117.0, 982.0, 28.0, 9.0)",Fittest
372,12,"""111101001101100011010011""",0.525407016277,"(117.0, 982.0, 28.0, 9.0)",Fittest
403,13,"""111101001101100011010011""",0.525407016277,"(117.0, 982.0, 28.0, 9.0)",Fittest
460,14,"""111001001101100101000011""",0.502403974533,"(110.0, 983.0, 20.0, 7.0)",Population
465,15,"""111001001101100101000011""",0.502403974533,"(110.0, 983.0, 20.0, 7.0)",Fittest
496,16,"""111001001101100101000011""",0.502403974533,"(110.0, 983.0, 20.0, 7.0)",Fittest
527,17,"""111001001101100101000011""",0.502403974533,"(110.0, 983.0, 20.0, 7.0)",Fittest
558,18,"""111001001101100101000011""",0.502403974533,"(110.0, 983.0, 20.0, 7.0)",Fittest
589,19,"""111001001101100101000011""",0.502403974533,"(110.0, 983.0, 20.0, 7.0)",Fittest
620,20,"""111001001101100101000011""",0.502403974533,"(110.0, 983.0, 20.0, 7.0)",Fittest
651,21,"""111001001101100101000011""",0.502403974533,"(110.0, 983.0, 20.0, 7.0)",Fittest
712,22,"""111000001101100101000011""",0.491180002689,"(109.0, 983.0, 20.0, 7.0)",Population
713,23,"""111000001101100101000011""",0.491180002689,"(109.0, 983.0, 20.0, 7.0)",Fittest
744,24,"""111000001101100101000011""",0.491180002689,"(109.0, 983.0, 20.0, 7.0)",Fittest
775,25,"""111000001101100101000011""",0.491180002689,"(109.0, 983.0, 20.0, 7.0)",Fittest
806,26,"""111000001101100101000011""",0.491180002689,"(109.0, 983.0, 20.0, 7.0)",Fittest
837,27,"""111000001101100101000011""",0.491180002689,"(109.0, 983.0, 20.0, 7.0)",Fittest
868,28,"""111000001101100101000011""",0.491180002689,"(109.0, 983.0, 20.0, 7.0)",Fittest
899,29,"""111000001101100101000011""",0.491180002689,"(109.0, 983.0, 20.0, 7.0)",Fittest
