Generation,Solution,Fitness,Parameters,Fittest
0,"""111000011101001011010110""",2.9210309982299805,"(109.0, 1421.0, 30.0, 10.0)",Fittest
0,"""111100011000000000010110""",3.0607268810272217,"(115.0, 1276.0, 30.0, 10.0)",Elite
0,"""111010011101100110010011""",3.1987600326538086,"(112.0, 1433.0, 28.0, 9.0)",Elite
0,"""110010110010100111111101""",4.21950101852417,"(100.0, 1124.0, 49.0, 17.0)",Population
0,"""111000011101001011010110""",3.3363850116729736,"(109.0, 1421.0, 30.0, 10.0)",Population
0,"""110111000101001101111110""",2.9933369159698486,"(107.0, 747.0, 50.0, 17.0)",Population
0,"""001100101111011100001111""",6.635193824768066,"(40.0, 1035.0, 26.0, 9.0)",Population
0,"""111011110111010000000001""",3.3895840644836426,"(114.0, 1255.0, 19.0, 6.0)",Population
0,"""111010011101100110010011""",3.4253408908843994,"(112.0, 1433.0, 28.0, 9.0)",Population
0,"""011000101011011111010000""",5.152705192565918,"(59.0, 924.0, 27.0, 9.0)",Population
0,"""111010011101100110010011""",3.2711989879608154,"(112.0, 1433.0, 28.0, 9.0)",Population
0,"""100011011101001010111110""",5.102935791015625,"(76.0, 1421.0, 50.0, 17.0)",Population
0,"""111000001011110001010101""",4.952507972717285,"(109.0, 932.0, 29.0, 10.0)",Population
0,"""110111000101001101111111""",4.127653121948242,"(107.0, 747.0, 50.0, 17.0)",Population
0,"""111100011000000000010110""",2.852039098739624,"(115.0, 1276.0, 30.0, 10.0)",Population
0,"""111010011101100110010011""",3.7140209674835205,"(112.0, 1433.0, 28.0, 9.0)",Population
0,"""110010110001010000011011""",4.591477870941162,"(100.0, 1086.0, 32.0, 11.0)",Population
0,"""111010011101100110010011""",3.1703040599823,"(112.0, 1433.0, 28.0, 9.0)",Population
0,"""011100000010000010110110""",4.221404075622559,"(65.0, 658.0, 46.0, 16.0)",Population
0,"""111011110111010000000001""",3.773819923400879,"(114.0, 1255.0, 19.0, 6.0)",Population
0,"""110010110011100111111101""",3.901042938232422,"(100.0, 1152.0, 49.0, 17.0)",Population
0,"""110100011000000000010110""",3.253343105316162,"(102.0, 1276.0, 30.0, 10.0)",Population
0,"""011000101011011111010000""",3.927093982696533,"(59.0, 924.0, 27.0, 9.0)",Population
