,Generation,Solution,Fitness,Parameters,Fittest
23,0,"""111010011101100110010011""",2.68801689148,"(112.0, 1433.0, 28.0, 9.0)",Population
45,1,"""111010010101100110010011""",2.30654811859,"(112.0, 1208.0, 28.0, 9.0)",Population
73,2,"""111100011001000000010110""",2.28155493736,"(115.0, 1304.0, 30.0, 10.0)",Population
93,3,"""111100011001000000010110""",2.28155493736,"(115.0, 1304.0, 30.0, 10.0)",Fittest
124,4,"""111100011001000000010110""",2.28155493736,"(115.0, 1304.0, 30.0, 10.0)",Fittest
184,5,"""111110010101100100010110""",1.83054196835,"(118.0, 1207.0, 30.0, 10.0)",Population
186,6,"""111110010101100100010110""",1.83054196835,"(118.0, 1207.0, 30.0, 10.0)",Fittest
217,7,"""111110010101100100010110""",1.83054196835,"(118.0, 1207.0, 30.0, 10.0)",Fittest
248,8,"""111110010101100100010110""",1.83054196835,"(118.0, 1207.0, 30.0, 10.0)",Fittest
279,9,"""111110010101100100010110""",1.83054196835,"(118.0, 1207.0, 30.0, 10.0)",Fittest
310,10,"""111110010101100100010110""",1.83054196835,"(118.0, 1207.0, 30.0, 10.0)",Fittest
341,11,"""111110010101100100010110""",1.83054196835,"(118.0, 1207.0, 30.0, 10.0)",Fittest
372,12,"""111110010101100100010110""",1.83054196835,"(118.0, 1207.0, 30.0, 10.0)",Fittest
403,13,"""111110010101100100010110""",1.83054196835,"(118.0, 1207.0, 30.0, 10.0)",Fittest
434,14,"""111110010101100100010110""",1.83054196835,"(118.0, 1207.0, 30.0, 10.0)",Fittest
465,15,"""111110010101100100010110""",1.83054196835,"(118.0, 1207.0, 30.0, 10.0)",Fittest
496,16,"""111110010101100100010110""",1.83054196835,"(118.0, 1207.0, 30.0, 10.0)",Fittest
527,17,"""111110010101100100010110""",1.83054196835,"(118.0, 1207.0, 30.0, 10.0)",Fittest
558,18,"""111110010101100100010110""",1.83054196835,"(118.0, 1207.0, 30.0, 10.0)",Fittest
589,19,"""111110010101100100010110""",1.83054196835,"(118.0, 1207.0, 30.0, 10.0)",Fittest
620,20,"""111110010101100100010110""",1.83054196835,"(118.0, 1207.0, 30.0, 10.0)",Fittest
651,21,"""111110010101100100010110""",1.83054196835,"(118.0, 1207.0, 30.0, 10.0)",Fittest
682,22,"""111110010101100100010110""",1.83054196835,"(118.0, 1207.0, 30.0, 10.0)",Fittest
713,23,"""111110010101100100010110""",1.83054196835,"(118.0, 1207.0, 30.0, 10.0)",Fittest
744,24,"""111110010101100100010110""",1.83054196835,"(118.0, 1207.0, 30.0, 10.0)",Fittest
775,25,"""111110010101100100010110""",1.83054196835,"(118.0, 1207.0, 30.0, 10.0)",Fittest
806,26,"""111110010101100100010110""",1.83054196835,"(118.0, 1207.0, 30.0, 10.0)",Fittest
837,27,"""111110010101100100010110""",1.83054196835,"(118.0, 1207.0, 30.0, 10.0)",Fittest
868,28,"""111110010101100100010110""",1.83054196835,"(118.0, 1207.0, 30.0, 10.0)",Fittest
899,29,"""111110010101100100010110""",1.83054196835,"(118.0, 1207.0, 30.0, 10.0)",Fittest
