Generation,Solution,Fitness,Parameters,Fittest
0,"""010100010001010111011010""",0.18905000388622284,"(52.0, 1089.0, 32.0, 11.0)",Fittest
0,"""011000100100110001010101""",0.20586100220680237,"(59.0, 735.0, 29.0, 10.0)",Elite
0,"""100001101000001101000101""",0.23074999451637268,"(73.0, 831.0, 21.0, 7.0)",Elite
0,"""011000100100110001010101""",0.2313999980688095,"(59.0, 735.0, 29.0, 10.0)",Population
0,"""010111100100010100000001""",0.25826799869537354,"(58.0, 722.0, 19.0, 6.0)",Population
0,"""100001101000001101000101""",0.2364010065793991,"(73.0, 831.0, 21.0, 7.0)",Population
0,"""010100010001010111011010""",0.2568579912185669,"(52.0, 1089.0, 32.0, 11.0)",Population
0,"""011000100100110001010101""",0.23113399744033813,"(59.0, 735.0, 29.0, 10.0)",Population
0,"""010100010001010111011010""",0.21744999289512634,"(52.0, 1089.0, 32.0, 11.0)",Population
0,"""011100100100110001010100""",0.21205300092697144,"(65.0, 735.0, 29.0, 10.0)",Population
0,"""100101000001110011010001""",0.20867599546909332,"(79.0, 651.0, 27.0, 9.0)",Population
0,"""010111100100010100000001""",0.24087999761104584,"(58.0, 722.0, 19.0, 6.0)",Population
0,"""010101110111011110010010""",0.32968398928642273,"(54.0, 1261.0, 28.0, 9.0)",Population
0,"""001001000010111101100111""",0.3213860094547272,"(35.0, 684.0, 38.0, 13.0)",Population
0,"""111110000101111010100100""",0.38863199949264526,"(118.0, 767.0, 37.0, 12.0)",Population
0,"""010111001011010011111011""",0.2902030050754547,"(57.0, 918.0, 48.0, 16.0)",Population
0,"""001001000010111101100111""",0.2455659955739975,"(35.0, 684.0, 38.0, 13.0)",Population
0,"""011010100100110001010101""",0.217398002743721,"(62.0, 735.0, 29.0, 10.0)",Population
0,"""010100010001010111011010""",0.2024720013141632,"(52.0, 1089.0, 32.0, 11.0)",Population
0,"""011000100100110001010101""",0.21540099382400513,"(59.0, 735.0, 29.0, 10.0)",Population
0,"""110010000101111010100100""",0.3254460096359253,"(99.0, 767.0, 37.0, 12.0)",Population
0,"""011001001100110001011111""",0.25855499505996704,"(60.0, 960.0, 34.0, 11.0)",Population
0,"""010110100011010011110101""",0.22598899900913239,"(56.0, 693.0, 45.0, 15.0)",Population
0,"""011000100100110001010101""",0.1950560063123703,"(59.0, 735.0, 29.0, 10.0)",Population
0,"""100101000000110011010001""",0.24586400389671326,"(79.0, 623.0, 27.0, 9.0)",Population
0,"""001001000010111101100111""",0.2524400055408478,"(35.0, 684.0, 38.0, 13.0)",Population
0,"""010100010001010111011010""",0.26138898730278015,"(52.0, 1089.0, 32.0, 11.0)",Population
0,"""001100111100001100101110""",0.28388598561286926,"(40.0, 1394.0, 42.0, 14.0)",Population
0,"""010100010001010111011010""",0.22503100335597992,"(52.0, 1089.0, 32.0, 11.0)",Population
0,"""100001101001010101001010""",0.22238999605178833,"(73.0, 863.0, 24.0, 8.0)",Population
0,"""010100010000001111010101""",0.21716299653053284,"(52.0, 1057.0, 29.0, 10.0)",Population
1,"""010100010001010111011010""",0.18905000388622284,"(52.0, 1089.0, 32.0, 11.0)",Fittest
1,"""011000100100110001010101""",0.1950560063123703,"(59.0, 735.0, 29.0, 10.0)",Elite
1,"""010100010001010111011010""",0.2024720013141632,"(52.0, 1089.0, 32.0, 11.0)",Elite
1,"""011000100100110001010101""",0.21166400611400604,"(59.0, 735.0, 29.0, 10.0)",Population
1,"""011100100100110001010100""",0.24956899881362915,"(65.0, 735.0, 29.0, 10.0)",Population
1,"""011100100100110001010100""",0.2723659873008728,"(65.0, 735.0, 29.0, 10.0)",Population
1,"""011010100100110001010101""",0.20482799410820007,"(62.0, 735.0, 29.0, 10.0)",Population
1,"""010100010000010111011010""",0.26952698826789856,"(52.0, 1061.0, 32.0, 11.0)",Population
1,"""011000100100110001010101""",0.20979300141334534,"(59.0, 735.0, 29.0, 10.0)",Population
1,"""011010100100110001010101""",0.23725999891757965,"(62.0, 735.0, 29.0, 10.0)",Population
1,"""010100010001010111011010""",0.2052769958972931,"(52.0, 1089.0, 32.0, 11.0)",Population
1,"""010100010001010111011010""",0.23549699783325195,"(52.0, 1089.0, 32.0, 11.0)",Population
1,"""010100010000001111010101""",0.225722998380661,"(52.0, 1057.0, 29.0, 10.0)",Population
1,"""100101000001110011010001""",0.23678800463676453,"(79.0, 651.0, 27.0, 9.0)",Population
1,"""011100010000001111010101""",0.3139669895172119,"(65.0, 1057.0, 29.0, 10.0)",Population
1,"""011010100100110001010101""",0.27141401171684265,"(62.0, 735.0, 29.0, 10.0)",Population
1,"""100001101000001101000101""",0.22540099918842316,"(73.0, 831.0, 21.0, 7.0)",Population
1,"""010100010000001111010101""",0.2174379974603653,"(52.0, 1057.0, 29.0, 10.0)",Population
1,"""010100010001010111011010""",0.2413260042667389,"(52.0, 1089.0, 32.0, 11.0)",Population
1,"""010100010001010111011010""",0.24430200457572937,"(52.0, 1089.0, 32.0, 11.0)",Population
1,"""011000100100110001010101""",0.23611700534820557,"(59.0, 735.0, 29.0, 10.0)",Population
1,"""010100010001010011011010""",0.2321610003709793,"(52.0, 1087.0, 32.0, 11.0)",Population
1,"""011000100100110001010101""",0.209757000207901,"(59.0, 735.0, 29.0, 10.0)",Population
1,"""011000100100110001010101""",0.21210099756717682,"(59.0, 735.0, 29.0, 10.0)",Population
1,"""010100110001010111011110""",0.28552699089050293,"(53.0, 1089.0, 34.0, 11.0)",Population
1,"""010100100100001011010101""",0.21499300003051758,"(53.0, 718.0, 29.0, 10.0)",Population
1,"""010000010000110001010101""",0.22151100635528564,"(46.0, 1072.0, 29.0, 10.0)",Population
1,"""100101000001110011010001""",0.2685590088367462,"(79.0, 651.0, 27.0, 9.0)",Population
1,"""010100010001010111011010""",0.2035360038280487,"(52.0, 1089.0, 32.0, 11.0)",Population
1,"""011000100100110001010101""",0.1934870034456253,"(59.0, 735.0, 29.0, 10.0)",Population
1,"""100001101001010101001010""",0.31636300683021545,"(73.0, 863.0, 24.0, 8.0)",Population
2,"""010100010001010111011010""",0.18905000388622284,"(52.0, 1089.0, 32.0, 11.0)",Fittest
2,"""011000100100110001010101""",0.1934870034456253,"(59.0, 735.0, 29.0, 10.0)",Elite
2,"""011000100100110001010101""",0.1950560063123703,"(59.0, 735.0, 29.0, 10.0)",Elite
2,"""011000100100110001010101""",0.21542899310588837,"(59.0, 735.0, 29.0, 10.0)",Population
2,"""010100010001010111011010""",0.2744959890842438,"(52.0, 1089.0, 32.0, 11.0)",Population
2,"""011000100100110001010101""",0.2359350025653839,"(59.0, 735.0, 29.0, 10.0)",Population
2,"""010100011001010111011010""",0.26894399523735046,"(52.0, 1314.0, 32.0, 11.0)",Population
2,"""011000100100110001010101""",0.2164279967546463,"(59.0, 735.0, 29.0, 10.0)",Population
2,"""010100010001010111011010""",0.26495298743247986,"(52.0, 1089.0, 32.0, 11.0)",Population
2,"""010100100100001001010101""",0.22717100381851196,"(53.0, 717.0, 29.0, 10.0)",Population
2,"""011000100100110001010101""",0.19078800082206726,"(59.0, 735.0, 29.0, 10.0)",Population
2,"""011000100100110001010101""",0.22846800088882446,"(59.0, 735.0, 29.0, 10.0)",Population
2,"""010100100100001011010101""",0.22729000449180603,"(53.0, 718.0, 29.0, 10.0)",Population
2,"""010000010000110001010101""",0.26249000430107117,"(46.0, 1072.0, 29.0, 10.0)",Population
2,"""011000100100110000010101""",0.20762300491333008,"(59.0, 734.0, 29.0, 10.0)",Population
2,"""010100010001010111011010""",0.23531000316143036,"(52.0, 1089.0, 32.0, 11.0)",Population
2,"""011000100100110001010101""",0.21552300453186035,"(59.0, 735.0, 29.0, 10.0)",Population
2,"""010100010001010111011010""",0.3202809989452362,"(52.0, 1089.0, 32.0, 11.0)",Population
2,"""011000100100110001110101""",0.21405300498008728,"(59.0, 735.0, 45.0, 15.0)",Population
