,Generation,Solution,Fitness,Parameters,Fittest
18,0,"""111000010010110000101110""",1.16116905212,"(109.0, 1128.0, 42.0, 14.0)",Population
55,1,"""111001110001110100011000""",1.07639300823,"(111.0, 1102.0, 31.0, 10.0)",Population
62,2,"""111001110001110100011000""",1.07639300823,"(111.0, 1102.0, 31.0, 10.0)",Fittest
111,3,"""111001110000110000011000""",1.05587494373,"(111.0, 1072.0, 31.0, 10.0)",Population
124,4,"""111001110000110000011000""",1.05587494373,"(111.0, 1072.0, 31.0, 10.0)",Fittest
155,5,"""111001110000110000011000""",1.05587494373,"(111.0, 1072.0, 31.0, 10.0)",Fittest
186,6,"""111001110000110000011000""",1.05587494373,"(111.0, 1072.0, 31.0, 10.0)",Fittest
217,7,"""111001110000110000011000""",1.05587494373,"(111.0, 1072.0, 31.0, 10.0)",Fittest
248,8,"""111001110000110000011000""",1.05587494373,"(111.0, 1072.0, 31.0, 10.0)",Fittest
279,9,"""111001110000110000011000""",1.05587494373,"(111.0, 1072.0, 31.0, 10.0)",Fittest
310,10,"""111001110000110000011000""",1.05587494373,"(111.0, 1072.0, 31.0, 10.0)",Fittest
341,11,"""111001110000110000011000""",1.05587494373,"(111.0, 1072.0, 31.0, 10.0)",Fittest
372,12,"""111001110000110000011000""",1.05587494373,"(111.0, 1072.0, 31.0, 10.0)",Fittest
403,13,"""111001110000110000011000""",1.05587494373,"(111.0, 1072.0, 31.0, 10.0)",Fittest
461,14,"""111001110001110100011010""",0.901663005352,"(111.0, 1102.0, 32.0, 11.0)",Population
465,15,"""111001110001110100011010""",0.901663005352,"(111.0, 1102.0, 32.0, 11.0)",Fittest
496,16,"""111001110001110100011010""",0.901663005352,"(111.0, 1102.0, 32.0, 11.0)",Fittest
527,17,"""111001110001110100011010""",0.901663005352,"(111.0, 1102.0, 32.0, 11.0)",Fittest
558,18,"""111001110001110100011010""",0.901663005352,"(111.0, 1102.0, 32.0, 11.0)",Fittest
589,19,"""111001110001110100011010""",0.901663005352,"(111.0, 1102.0, 32.0, 11.0)",Fittest
620,20,"""111001110001110100011010""",0.901663005352,"(111.0, 1102.0, 32.0, 11.0)",Fittest
651,21,"""111001110001110100011010""",0.901663005352,"(111.0, 1102.0, 32.0, 11.0)",Fittest
682,22,"""111001110001110100011010""",0.901663005352,"(111.0, 1102.0, 32.0, 11.0)",Fittest
713,23,"""111001110001110100011010""",0.901663005352,"(111.0, 1102.0, 32.0, 11.0)",Fittest
744,24,"""111001110001110100011010""",0.901663005352,"(111.0, 1102.0, 32.0, 11.0)",Fittest
775,25,"""111001110001110100011010""",0.901663005352,"(111.0, 1102.0, 32.0, 11.0)",Fittest
806,26,"""111001110001110100011010""",0.901663005352,"(111.0, 1102.0, 32.0, 11.0)",Fittest
837,27,"""111001110001110100011010""",0.901663005352,"(111.0, 1102.0, 32.0, 11.0)",Fittest
868,28,"""111001110001110100011010""",0.901663005352,"(111.0, 1102.0, 32.0, 11.0)",Fittest
899,29,"""111001110001110100011010""",0.901663005352,"(111.0, 1102.0, 32.0, 11.0)",Fittest
