frame,timestamp,acc x (m/s^2),acc y (m/s^2),acc z (m/s^2),gyro x (rad/s),gyro y (rad/s),gyro z (rad/s),x (Ground truth),y (Ground truth),z (Ground truth),yaw (Ground Truth),pitch (Ground Truth),roll (Ground Truth)
878,20.396502008232346,0.0,-0.0,0.010000228881835938,-0.0,-0.0,-0.0,-23.800546646118164,61.24238586425781,0.09412002563476562,-0.5967352390289307,-0.0,0.0
879,20.40650200800883,0.0,-0.0,0.01007843017578125,-0.0,-0.0,-0.0,-23.800546646118164,61.24238586425781,0.0902000442147255,-0.5967352390289307,-0.0,0.0
880,20.41650200778531,0.0,-0.0,0.009688377380371094,-0.0,-0.0,-0.0,-23.800546646118164,61.24238586425781,0.0853000208735466,-0.5967352390289307,-0.0,0.0
881,20.426502007561794,0.0,-0.0,0.01007843017578125,-0.0,-0.0,-0.0,-23.800546646118164,61.24238586425781,0.07942001521587372,-0.5967352390289307,-0.0,0.0
882,20.436502007338277,0.0,-0.0,3.618281841278076,7.764093425066676e-06,3.1802646844880655e-06,3.052793478078297e-14,-23.800546646118164,61.24238586425781,0.07292083650827408,-0.5967352390289307,-0.0,0.0
883,20.44650200711476,0.0,-0.0,15.623672485351562,3.7483478081412613e-06,2.2674150841339724e-06,1.2305662044909127e-10,-23.800546646118164,61.24238586425781,0.06700301915407181,-0.5967352390289307,-0.0,0.0
884,20.45650200689124,0.0,-0.0,14.684375762939453,2.439925310682156e-06,1.6787168988230405e-06,-1.0622225321554879e-10,-23.800546646118164,61.24238586425781,0.06157264485955238,-0.5967352390289307,-0.0,0.0
885,20.466502006667724,0.0,-0.0,14.286523818969727,2.609408966236515e-06,1.7602388879822684e-06,-1.2580575470266808e-11,-23.800546646118164,61.24238586425781,0.05658992752432823,-0.5967352390289307,-0.0,0.0
886,20.476502006444207,0.0,-0.0,13.921133041381836,2.7156618216395145e-06,1.1194910030098981e-06,-7.372980004305418e-11,-23.800546646118164,61.24238586425781,0.05201831832528114,-0.5967352390289307,-0.0,0.0
887,20.48650200622069,0.0,-0.0,13.585039138793945,2.1767066300526494e-06,1.5096852621354628e-06,-1.133676486020363e-12,-23.800546646118164,61.24238586425781,0.04782421141862869,-0.5967352390289307,-0.0,0.0
888,20.496502005997172,0.0,-0.0,13.276406288146973,7.206526220215892e-07,8.39585197809356e-07,-1.248986469803981e-10,-23.800546646118164,61.24238586425781,0.04397674277424812,-0.5967352390289307,-0.0,0.0
889,20.506502005773655,0.0,-0.0,12.992578506469727,7.640011858711659e-07,1.442740824586508e-07,-1.120500914275624e-11,-23.800546646118164,61.24238586425781,0.04044754058122635,-0.5967352390289307,-0.0,0.0
890,20.516502005550137,0.0,-0.0,12.731719017028809,1.5151132402024814e-06,5.051587663729151e-07,-3.6573744033319144e-11,-23.800546646118164,61.24238586425781,0.03721050173044205,-0.5967352390289307,-0.0,0.0
891,20.52650200532662,0.0,-0.0,12.492071151733398,1.5397897641378222e-06,5.098428346173023e-07,1.719631381735809e-11,-23.800546646118164,61.24238586425781,0.034241676330566406,-0.5967352390289307,-0.0,0.0
892,20.536502005103102,0.0,-0.0,12.272031784057617,9.341625855086022e-07,1.627390133762674e-07,-1.1637707464373648e-10,-23.800546646118164,61.24238586425781,0.031519051641225815,-0.5967352390289307,-0.0,0.0
893,20.546502004879585,0.0,-0.0,12.069063186645508,2.96973912128351e-08,5.132670253260585e-07,3.8845510141882755e-11,-23.800546646118164,61.24238586425781,0.029022330418229103,-0.5967352390289307,-0.0,0.0
894,20.556502004656068,0.0,-0.0,11.883652687072754,4.4065725290920454e-08,-1.8750408514733863e-07,-9.503517417464025e-11,-23.800546646118164,61.24238586425781,0.026732977479696274,-0.5967352390289307,-0.0,0.0
895,20.56650200443255,0.0,-0.0,11.712793350219727,2.661942488657587e-08,-2.063637651872341e-07,-2.085798200823774e-11,-23.800546646118164,61.24238586425781,0.024633903056383133,-0.5967352390289307,-0.0,0.0
896,20.576502004209033,0.0,-0.0,11.555976867675781,-1.284427497694196e-08,4.907338393422833e-07,1.0381204229581442e-10,-23.800546646118164,61.24238586425781,0.022709425538778305,-0.5967352390289307,-0.0,0.0
897,20.586502003985515,0.0,-0.0,11.41177749633789,8.689244168635923e-07,1.3181329450162593e-07,-4.6278411658384755e-11,-23.800546646118164,61.24238586425781,0.020945128053426743,-0.5967352390289307,-0.0,0.0
898,20.596502003761998,0.0,-0.0,11.279824256896973,-5.086518939378948e-08,4.635485026938113e-07,5.956957149777509e-12,-23.800546646118164,61.24238586425781,0.019327811896800995,-0.5967352390289307,-0.0,0.0
899,20.60650200353848,0.0,-0.0,11.158105850219727,-7.302086828531174e-07,9.872711359548703e-08,-8.63782378957012e-11,-23.800546646118164,61.24238586425781,0.017845306545495987,-0.5967352390289307,-0.0,0.0
900,20.616502003314963,0.0,-0.0,11.046719551086426,-7.823010719221202e-07,7.71320074477444e-08,5.739980712959891e-11,-23.800546646118164,61.24238586425781,0.016486473381519318,-0.5967352390289307,-0.0,0.0
901,20.626502003091446,0.0,-0.0,10.944501876831055,5.400851819103991e-07,6.188166423726216e-08,-1.4306555939924692e-11,-23.800546646118164,61.24238586425781,0.015241088345646858,-0.5967352390289307,-0.0,0.0
902,20.63650200286793,0.0,-0.0,10.850263595581055,7.514868798352836e-07,-6.676468728983309e-07,-8.758452296753205e-11,-23.800546646118164,61.24238586425781,0.014099731110036373,-0.5967352390289307,-0.0,0.0
903,20.64650200264441,0.0,-0.0,10.764433860778809,-1.4852145113763981e-07,3.6056295016351214e-07,5.739447805908071e-11,-23.800546646118164,61.24238586425781,0.013053817674517632,-0.5967352390289307,-0.0,0.0
904,20.656502002420893,0.0,-0.0,10.684717178344727,7.097777370290714e-07,1.2333323251567663e-09,1.890160250539452e-11,-23.800546646118164,61.24238586425781,0.01209537498652935,-0.5967352390289307,-0.0,0.0
905,20.666502002197376,0.0,-0.0,10.612607955932617,-1.9379618265702447e-07,3.291761174750718e-07,7.475478569496374e-12,-23.800546646118164,61.24238586425781,0.011217193678021431,-0.5967352390289307,-0.0,0.0
906,20.67650200197386,0.0,-0.0,10.545478820800781,-8.981349424175278e-07,-7.40166399282316e-07,-4.521816254765554e-11,-23.800546646118164,61.24238586425781,0.010412558913230896,-0.5967352390289307,-0.0,0.0
907,20.68650200175034,0.0,-0.0,10.484434127807617,6.55069925414864e-07,-5.8070035890978033e-08,4.4403439258822175e-11,-23.800546646118164,61.24238586425781,0.009675368666648865,-0.5967352390289307,-0.0,0.0
908,20.696502001526824,0.0,-0.0,10.428369522094727,-2.5551761950737273e-07,3.005783923981653e-07,1.7881252034612771e-12,-23.800546646118164,61.24238586425781,0.009000015445053577,-0.5967352390289307,-0.0,0.0
909,20.706502001303306,0.0,-0.0,10.376855850219727,-2.9768784770567436e-07,-4.000862077191414e-07,-1.3769152484854885e-11,-23.800546646118164,61.24238586425781,0.008381347171962261,-0.5967352390289307,-0.0,0.0
910,20.71650200107979,0.0,-0.0,10.329946517944336,-3.065360658638383e-07,2.7900779286937905e-07,4.345132587069145e-11,-23.800546646118164,61.24238586425781,0.007814674638211727,-0.5967352390289307,-0.0,0.0
911,20.72650200085627,0.0,-0.0,10.2860746383667,-3.5071511206297146e-07,-4.451780739600508e-07,-1.488331680121746e-11,-23.800546646118164,61.24238586425781,0.0072956085205078125,-0.5967352390289307,-0.0,0.0
912,20.736502000632754,0.0,-0.0,10.2464017868042,5.232237754171365e-07,-9.777975407132544e-08,6.610481606550422e-11,-23.800546646118164,61.24238586425781,0.006820182781666517,-0.5967352390289307,-0.0,0.0
913,20.746502000409237,0.0,-0.0,10.210165977478027,-3.8245889300014824e-07,2.5234709255528287e-07,4.4157691392321397e-11,-23.800546646118164,61.24238586425781,0.006384773179888725,-0.5967352390289307,-0.0,0.0
914,20.75650200018572,0.0,-0.0,10.176587104797363,-3.9053091427376785e-07,-4.5639814061360084e-07,-3.432598649766305e-11,-23.800546646118164,61.24238586425781,0.005986022762954235,-0.5967352390289307,-0.0,0.0
