20230401_4,20230331_1,20230401_6,20230331_2,20230401_7,20230401_2,20230420_2,20230331_4,20230401_1
,,,,,,,,
5.833054,4.5149,4.952822,4.909358,4.198652,4.138178,4.266669,5.069183,5.959997
5.769991,5.595008,4.881337,4.450238,6.748487,4.198078,5.120186,5.694679,4.225951
3.864765,,,4.351493,2.990045,4.099693,3.904155,5.579397,4.51447
,4.80348,3.588114,,,,,,
,10.516258,3.960358,,,,,,
,4.796842,3.630678,,,,,,
,3.489421,5.483621,,,,,,
