20230401_4,20230331_1,20230401_6,20230331_2,20230401_7,20230401_2,20230420_2,20230331_4
,,,,,,,
1.540952,1.364977,0.859217,1.506272,1.10084,1.241133,1.105662,2.960121
1.402797,0.995644,0.7747,1.379973,2.285215,1.38996,1.194221,3.440503
1.067586,1.00654,1.666107,1.108941,1.098277,1.14842,1.230011,
