1260,3.17,0
1261,3.18,0
1262,3.19,0
1263,3.2,320
1264,3.21,0
1265,3.22,0
1266,3.23,0
1267,3.24,0
1268,3.25,325
1269,3.26,0
1270,3.27,0
1271,3.28,0
1272,3.29,0
1273,3.3,330
1274,3.31,0
1275,3.32,0
1276,3.33,0
1277,3.34,0
1278,3.35,335
1279,3.36,0
1280,3.37,0
1281,3.38,0
1282,3.39,0
1283,3.4,340
1284,3.41,0
1285,3.42,0
1286,3.43,0
1287,3.44,0
1288,3.45,345
1289,3.46,0
1290,3.47,0
1291,3.48,0
1292,3.49,0
1293,3.5,350
1294,3.51,0
1295,3.52,0
1296,3.53,0
1297,3.54,0
1298,3.55,355
1299,3.56,0
1300,3.57,0
1301,3.58,0
1302,3.59,0
1303,3.6,360
1304,3.61,0
1305,3.62,0
1306,3.63,0
1307,3.64,0
1308,3.65,365
1309,3.66,0
1310,3.67,0
1311,3.68,0
1312,3.69,0
1313,3.7,370
1314,3.71,0
1315,3.72,0
1316,3.73,0
1317,3.74,0
1318,3.75,375
1319,3.76,0
1320,3.77,0
1321,3.78,0
1322,3.79,0
1323,3.8,380
1324,3.81,0
1325,3.82,0
1326,3.83,0
1327,3.84,0
1328,3.85,385
1329,3.86,0
1330,3.87,0
1331,3.88,0
1332,3.89,0
1333,3.9,390
1334,3.91,0
1335,3.92,0
1336,3.93,0
1337,3.94,0
1338,3.95,395
1339,3.96,0
1340,3.97,0
1341,3.98,0
1342,3.99,0
1343,4.0,400
1344,4.01,0
1345,4.02,0
1346,4.03,0
1347,4.04,0
1348,4.05,405
1349,4.06,0
1350,4.07,0
1351,4.08,0
1352,4.09,0
1353,4.1,410
1354,4.11,0
1355,4.12,0
1356,4.13,0
1357,4.14,0
1358,4.15,415
1359,4.16,0
1360,4.17,0
1361,4.18,0
1362,4.19,0
1363,4.2,420
1364,4.21,0
1365,4.22,0
1366,4.23,0
1367,4.24,0
1368,4.25,425
1369,4.26,0
1370,4.27,0
1371,4.28,0
1372,4.29,0
1373,4.3,430
1374,4.31,0
1375,4.32,0
1376,4.33,0
1377,4.34,0
1378,4.35,435
1379,4.36,0
1380,4.37,0
1381,4.38,0
1382,4.39,0
1383,4.4,440
1384,4.41,0
1385,4.42,0
1386,4.43,0
1387,4.44,0
1388,4.45,445
1389,4.46,0
1390,4.47,0
1391,4.48,0
