,Generation,Solution,Fitness,Parameters,Fittest
22,0,"""111111110000001010110111""",0.663112998009,"(120.0, 1055.0, 46.0, 16.0)",Population
31,1,"""111111110000001010110111""",0.663112998009,"(120.0, 1055.0, 46.0, 16.0)",Fittest
69,2,"""111111001111000000101010""",0.525093019009,"(120.0, 1023.0, 40.0, 14.0)",Population
93,3,"""111111001111000000101010""",0.525093019009,"(120.0, 1023.0, 40.0, 14.0)",Fittest
132,4,"""111111001111010000101011""",0.462345987558,"(120.0, 1030.0, 40.0, 14.0)",Population
155,5,"""111111001111010000101011""",0.462345987558,"(120.0, 1030.0, 40.0, 14.0)",Fittest
186,6,"""111111001111010000101011""",0.462345987558,"(120.0, 1030.0, 40.0, 14.0)",Fittest
217,7,"""111111001111010000101011""",0.462345987558,"(120.0, 1030.0, 40.0, 14.0)",Fittest
248,8,"""111111001111010000101011""",0.462345987558,"(120.0, 1030.0, 40.0, 14.0)",Fittest
279,9,"""111111001111010000101011""",0.462345987558,"(120.0, 1030.0, 40.0, 14.0)",Fittest
310,10,"""111111001111010000101011""",0.462345987558,"(120.0, 1030.0, 40.0, 14.0)",Fittest
341,11,"""111111001111010000101011""",0.462345987558,"(120.0, 1030.0, 40.0, 14.0)",Fittest
372,12,"""111111001111010000101011""",0.462345987558,"(120.0, 1030.0, 40.0, 14.0)",Fittest
403,13,"""111111001111010000101011""",0.462345987558,"(120.0, 1030.0, 40.0, 14.0)",Fittest
434,14,"""111111001111010000101011""",0.462345987558,"(120.0, 1030.0, 40.0, 14.0)",Fittest
465,15,"""111111001111010000101011""",0.462345987558,"(120.0, 1030.0, 40.0, 14.0)",Fittest
496,16,"""111111001111010000101011""",0.462345987558,"(120.0, 1030.0, 40.0, 14.0)",Fittest
527,17,"""111111001111010000101011""",0.462345987558,"(120.0, 1030.0, 40.0, 14.0)",Fittest
558,18,"""111111001111010000101011""",0.462345987558,"(120.0, 1030.0, 40.0, 14.0)",Fittest
589,19,"""111111001111010000101011""",0.462345987558,"(120.0, 1030.0, 40.0, 14.0)",Fittest
620,20,"""111111001111010000101011""",0.462345987558,"(120.0, 1030.0, 40.0, 14.0)",Fittest
651,21,"""111111001111010000101011""",0.462345987558,"(120.0, 1030.0, 40.0, 14.0)",Fittest
682,22,"""111111001111010000101011""",0.462345987558,"(120.0, 1030.0, 40.0, 14.0)",Fittest
713,23,"""111111001111010000101011""",0.462345987558,"(120.0, 1030.0, 40.0, 14.0)",Fittest
744,24,"""111111001111010000101011""",0.462345987558,"(120.0, 1030.0, 40.0, 14.0)",Fittest
775,25,"""111111001111010000101011""",0.462345987558,"(120.0, 1030.0, 40.0, 14.0)",Fittest
806,26,"""111111001111010000101011""",0.462345987558,"(120.0, 1030.0, 40.0, 14.0)",Fittest
837,27,"""111111001111010000101011""",0.462345987558,"(120.0, 1030.0, 40.0, 14.0)",Fittest
868,28,"""111111001111010000101011""",0.462345987558,"(120.0, 1030.0, 40.0, 14.0)",Fittest
899,29,"""111111001111010000101011""",0.462345987558,"(120.0, 1030.0, 40.0, 14.0)",Fittest
