frame,timestamp,x,y,z,qw,qx,qy,qz,v_x (m/s),v_y (m/s),v_z (m/s),w_x (rad/s),w_y (rad/s),w_z (rad/s),acc x (m/s^2),acc y (m/s^2),acc z (m/s^2)
908,350000000.0,3.5527136788e-15,0.000301513704475,0.0,1.0,0.0,0.0,0.0,-2.21660130251e-07,-0.00127247802448,8.68268568133e-09,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
909,360000000.0,3.5527136788e-15,0.000311164883897,-2.84217094304e-14,1.0,0.0,0.0,0.0,-2.65910387043e-07,-0.000966625171714,-8.15600920151e-09,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
910,370000000.0,0.0,0.000318222097125,0.0,1.0,0.0,0.0,0.0,8.73454766293e-08,-0.00070595741272,8.35250890663e-09,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
911,380000000.0,3.5527136788e-15,0.000323066720743,-2.84217094304e-14,1.0,0.0,0.0,0.0,2.05852771273e-07,-0.000484828924527,-2.34655388454e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
912,390000000.0,0.0,0.000326004112143,0.0,1.0,0.0,0.0,0.0,1.96641693151e-07,-0.000295228965115,-7.10086256467e-09,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
913,400000000.0,0.0,0.000327377347272,-1.42108547152e-14,1.0,0.0,0.0,0.0,5.13109128519e-08,-0.000136852264404,6.8624812499e-09,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
914,410000000.0,0.0,0.000327377347272,-1.42108547152e-14,1.0,0.0,0.0,0.0,2.16520149365e-07,-3.78608706342e-06,2.12449187131e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
915,420000000.0,0.0,0.000326347420923,-1.42108547152e-14,1.0,0.0,0.0,0.0,3.19813082683e-08,0.000105962753878,-2.58467593994e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
916,430000000.0,3.5527136788e-15,0.000324363703839,0.0,1.0,0.0,0.0,0.0,-1.23650721662e-07,0.000197582237888,-8.61722782018e-09,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
917,440000000.0,0.0,0.00032165530137,0.0,1.0,0.0,0.0,0.0,-1.62648454705e-08,0.000270881660981,-9.30335986024e-09,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
918,450000000.0,0.0,0.000318374717608,-1.42108547152e-14,1.0,0.0,0.0,0.0,5.32631929673e-08,0.00032982826815,2.07885264559e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
919,460000000.0,0.0,0.000314598088153,0.0,1.0,0.0,0.0,0.0,-1.36485070357e-07,0.000377492891857,3.20018322958e-09,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
920,470000000.0,3.5527136788e-15,0.000310478266325,-1.42108547152e-14,1.0,0.0,0.0,0.0,-7.23114652601e-08,0.000412178022088,-1.1173355574e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
921,480000000.0,0.0,0.00030609138776,0.0,1.0,0.0,0.0,0.0,2.66519659675e-08,0.000439748750068,-9.9131893804e-09,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
922,490000000.0,3.5527136788e-15,0.000301513704475,0.0,1.0,0.0,0.0,0.0,-4.27418012094e-09,0.000457477552118,-1.09409947768e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
923,500000000.0,0.0,0.000296821584925,0.0,1.0,0.0,0.0,0.0,-9.30215726669e-09,0.000469484308269,1.9063365997e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
924,510000000.0,0.0,0.000292053213347,-1.42108547152e-14,1.0,0.0,0.0,0.0,2.20242686311e-08,0.000475263572298,-1.32419515352e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
925,520000000.0,3.5527136788e-15,0.000287284841761,-2.84217094304e-14,1.0,0.0,0.0,0.0,4.67648071378e-08,0.000476636865642,-1.16908376312e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
926,530000000.0,0.0,0.000282554654405,0.0,1.0,0.0,0.0,0.0,3.6897926492e-08,0.000473604188301,1.82660873095e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
927,540000000.0,0.0,0.000277900719084,-1.42108547152e-14,1.0,0.0,0.0,0.0,3.77329456569e-08,0.000467119214591,1.62647992853e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
928,550000000.0,3.5527136788e-15,0.000273323152211,-1.42108547152e-14,1.0,0.0,0.0,0.0,1.61828506151e-08,0.000459375383798,1.56419961428e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
929,560000000.0,3.5527136788e-15,0.000268821720965,-1.42108547152e-14,1.0,0.0,0.0,0.0,2.60521971995e-07,0.000449085229775,-1.50517891483e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
930,570000000.0,0.0,0.000264473026618,-1.42108547152e-14,1.0,0.0,0.0,0.0,3.75542619224e-08,0.000436115253251,-1.39925839803e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
931,580000000.0,0.0,0.000260238652118,-1.42108547152e-14,1.0,0.0,0.0,0.0,7.88845824218e-08,0.000422153476393,-1.42380356393e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
932,590000000.0,0.0,0.000256195082326,0.0,1.0,0.0,0.0,0.0,-3.45578605732e-08,0.00040616033948,2.58467025614e-10,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
933,600000000.0,0.0,0.000252265948802,-1.42108547152e-14,1.0,0.0,0.0,0.0,3.88914642713e-08,0.000391759851482,-1.66821312319e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
934,610000000.0,0.0,0.000248565687798,-1.42108547152e-14,1.0,0.0,0.0,0.0,6.70383748513e-09,0.000375623698346,-1.60365640766e-08,-0.002153,0.020744,0.075806,-0.013337,0.103464,0.093086
