,Generation,Solution,Fitness,Parameters,Fittest
13,0,"""111111111111111101011100""",1.05260503292,"(120.0, 1500.0, 33.0, 11.0)",Population
31,1,"""111111111111111101011100""",1.05260503292,"(120.0, 1500.0, 33.0, 11.0)",Fittest
62,2,"""111111111111111101011100""",1.05260503292,"(120.0, 1500.0, 33.0, 11.0)",Fittest
93,3,"""111111111111111101011100""",1.05260503292,"(120.0, 1500.0, 33.0, 11.0)",Fittest
124,4,"""111111111111111101011100""",1.05260503292,"(120.0, 1500.0, 33.0, 11.0)",Fittest
174,5,"""111111111011111001100110""",1.02409899235,"(120.0, 1385.0, 38.0, 13.0)",Population
186,6,"""111111111011111001100110""",1.02409899235,"(120.0, 1385.0, 38.0, 13.0)",Fittest
217,7,"""111111111011111001100110""",1.02409899235,"(120.0, 1385.0, 38.0, 13.0)",Fittest
248,8,"""111111111011111001100110""",1.02409899235,"(120.0, 1385.0, 38.0, 13.0)",Fittest
279,9,"""111111111011111001100110""",1.02409899235,"(120.0, 1385.0, 38.0, 13.0)",Fittest
310,10,"""111111111011111001100110""",1.02409899235,"(120.0, 1385.0, 38.0, 13.0)",Fittest
344,11,"""111111111001110001100110""",1.00048494339,"(120.0, 1326.0, 38.0, 13.0)",Population
372,12,"""111111111001110001100110""",1.00048494339,"(120.0, 1326.0, 38.0, 13.0)",Fittest
403,13,"""111111111001110001100110""",1.00048494339,"(120.0, 1326.0, 38.0, 13.0)",Fittest
434,14,"""111111111001110001100110""",1.00048494339,"(120.0, 1326.0, 38.0, 13.0)",Fittest
465,15,"""111111111001110001100110""",1.00048494339,"(120.0, 1326.0, 38.0, 13.0)",Fittest
496,16,"""111111111001110001100110""",1.00048494339,"(120.0, 1326.0, 38.0, 13.0)",Fittest
527,17,"""111111111001110001100110""",1.00048494339,"(120.0, 1326.0, 38.0, 13.0)",Fittest
584,18,"""111100111001111001100110""",0.953894019127,"(116.0, 1329.0, 38.0, 13.0)",Population
589,19,"""111100111001111001100110""",0.953894019127,"(116.0, 1329.0, 38.0, 13.0)",Fittest
620,20,"""111100111001111001100110""",0.953894019127,"(116.0, 1329.0, 38.0, 13.0)",Fittest
651,21,"""111100111001111001100110""",0.953894019127,"(116.0, 1329.0, 38.0, 13.0)",Fittest
682,22,"""111100111001111001100110""",0.953894019127,"(116.0, 1329.0, 38.0, 13.0)",Fittest
713,23,"""111100111001111001100110""",0.953894019127,"(116.0, 1329.0, 38.0, 13.0)",Fittest
744,24,"""111100111001111001100110""",0.953894019127,"(116.0, 1329.0, 38.0, 13.0)",Fittest
775,25,"""111100111001111001100110""",0.953894019127,"(116.0, 1329.0, 38.0, 13.0)",Fittest
806,26,"""111100111001111001100110""",0.953894019127,"(116.0, 1329.0, 38.0, 13.0)",Fittest
837,27,"""111100111001111001100110""",0.953894019127,"(116.0, 1329.0, 38.0, 13.0)",Fittest
868,28,"""111100111001111001100110""",0.953894019127,"(116.0, 1329.0, 38.0, 13.0)",Fittest
915,29,"""111110111011111001100110""",0.948687016964,"(119.0, 1385.0, 38.0, 13.0)",Population
