,Generation,Solution,Fitness,Parameters
3,0,"""100011101000001101""",1.23019099236,"(76.0, 831.0)"
5,1,"""100010100100001000""",1.43754303455,"(75.0, 717.0)"
9,2,"""100011101001111000""",1.58622598648,"(76.0, 878.0)"
15,3,"""101011101010001101""",0.883633971214,"(89.0, 888.0)"
18,4,"""100011101010001101""",1.10393500328,"(76.0, 888.0)"
21,5,"""101010101010001101""",1.13746404648,"(87.0, 888.0)"
27,6,"""101010101010001001""",1.10220098495,"(87.0, 886.0)"
29,7,"""101010101010001101""",1.12859594822,"(87.0, 888.0)"
