Generation,Solution,Fitness,Parameters
0,"""101111101011101101""",0.983847975730896,"(95.0, 930.0)"
0,"""001100110110100000""",4.4132490158081055,"(40.0, 1234.0)"
0,"""000111001111000000""",2.953861951828003,"(32.0, 1023.0)"
0,"""111100010100110010""",2.0134730339050293,"(115.0, 1185.0)"
0,"""111011001001111110""",0.8313000202178955,"(113.0, 881.0)"
0,"""011000000010110001""",1.903277039527893,"(58.0, 678.0)"
0,"""010001011110100100""",2.963502883911133,"(47.0, 1460.0)"
0,"""110101101001000010""",0.8275290131568909,"(105.0, 855.0)"
0,"""001000010110010011""",4.94537878036499,"(33.0, 1228.0)"
1,"""111100001111010110""",1.251109004020691,"(115.0, 1032.0)"
1,"""010001010000110101""",3.025394916534424,"(47.0, 1074.0)"
1,"""101111101011101010""",1.0706690549850464,"(95.0, 928.0)"
1,"""000010111001000110""",5.697117805480957,"(24.0, 1307.0)"
1,"""110111010010101011""",1.4579060077667236,"(107.0, 1126.0)"
1,"""101111101011101000""",0.7405800223350525,"(95.0, 928.0)"
2,"""011100101010010001""",1.964493989944458,"(65.0, 889.0)"
2,"""111001001001101010""",0.8237519860267639,"(110.0, 872.0)"
2,"""010101010010010100""",2.4780778884887695,"(54.0, 1116.0)"
2,"""101101011011111111""",1.8685740232467651,"(91.0, 1388.0)"
2,"""001011000101001110""",2.3304269313812256,"(38.0, 747.0)"
3,"""001111111001010010""",3.797774076461792,"(45.0, 1312.0)"
3,"""101011000100000011""",1.570322036743164,"(88.0, 714.0)"
3,"""100000010010110001""",1.3038040399551392,"(71.0, 1129.0)"
3,"""001011110100000100""",3.7186899185180664,"(39.0, 1165.0)"
4,"""101111100111010011""",1.3726389408111572,"(95.0, 806.0)"
4,"""111111011101010110""",0.46768200397491455,"(120.0, 1426.0)"
4,"""001111101011101000""",2.328761100769043,"(45.0, 928.0)"
4,"""001110110111011010""",4.011144161224365,"(43.0, 1259.0)"
4,"""110101111000110100""",2.030841112136841,"(105.0, 1299.0)"
*,*,*,*
0,"""101111101011101101""",0.8275290131568909,"(105.0, 855.0)"
1,"""101111101011101000""",0.7405800223350525,"(95.0, 928.0)"
2,"""101111101011101000""",0.7405800223350525,"(95.0, 928.0)"
3,"""101111101011101000""",0.7405800223350525,"(95.0, 928.0)"
4,"""101111101011101000""",0.7405800223350525,"(95.0, 928.0)"
