Generation,Solution,Fitness,Parameters,Fittest
0,"""110111101000001000100000""",1.1612099409103394,"(108.0, 829.0, 35.0, 12.0)",Fittest
0,"""101111101110010011100111""",1.2326589822769165,"(95.0, 1003.0, 38.0, 13.0)",Elite
0,"""111001101110000011010001""",1.2758280038833618,"(111.0, 996.0, 27.0, 9.0)",Elite
0,"""100011101011001000110111""",1.399325966835022,"(76.0, 914.0, 46.0, 16.0)",Population
0,"""111111110011010011010011""",1.767516016960144,"(120.0, 1143.0, 28.0, 9.0)",Population
0,"""110101000100001001110100""",1.0787010192871094,"(104.0, 717.0, 45.0, 15.0)",Population
0,"""100011101011001000110111""",2.1164770126342773,"(76.0, 914.0, 46.0, 16.0)",Population
0,"""110111101010001000101000""",1.1496479511260986,"(108.0, 885.0, 39.0, 13.0)",Population
0,"""111001101110000011011001""",1.1336339712142944,"(111.0, 996.0, 31.0, 10.0)",Population
0,"""100011101011001000110111""",1.6353739500045776,"(76.0, 914.0, 46.0, 16.0)",Population
0,"""111001101110000011010001""",1.450018048286438,"(111.0, 996.0, 27.0, 9.0)",Population
0,"""110111101000001000100000""",1.4297280311584473,"(108.0, 829.0, 35.0, 12.0)",Population
0,"""110101000100001001110100""",1.1600600481033325,"(104.0, 717.0, 45.0, 15.0)",Population
0,"""111111101000001000100000""",1.1774020195007324,"(120.0, 829.0, 35.0, 12.0)",Population
0,"""111001101110000011010001""",1.3304489850997925,"(111.0, 996.0, 27.0, 9.0)",Population
0,"""101111101110010011100111""",1.105314016342163,"(95.0, 1003.0, 38.0, 13.0)",Population
0,"""110101000100001001110100""",1.5329760313034058,"(104.0, 717.0, 45.0, 15.0)",Population
0,"""110101100101101001010010""",1.2557499408721924,"(105.0, 759.0, 28.0, 9.0)",Population
0,"""101010100110000101101111""",1.253371000289917,"(87.0, 772.0, 42.0, 14.0)",Population
0,"""110111101000001000100000""",1.198395013809204,"(108.0, 829.0, 35.0, 12.0)",Population
0,"""110111110011010011010010""",1.6700830459594727,"(108.0, 1143.0, 28.0, 9.0)",Population
0,"""101010100110000101101111""",1.3386529684066772,"(87.0, 772.0, 42.0, 14.0)",Population
0,"""110111101000001000100000""",1.0630769729614258,"(108.0, 829.0, 35.0, 12.0)",Population
0,"""101111101110010011100111""",1.479833960533142,"(95.0, 1003.0, 38.0, 13.0)",Population
0,"""111001101110000011010001""",1.5722780227661133,"(111.0, 996.0, 27.0, 9.0)",Population
0,"""111001101110000011010001""",1.5549750328063965,"(111.0, 996.0, 27.0, 9.0)",Population
0,"""110011101000001000100000""",1.008381962776184,"(102.0, 829.0, 35.0, 12.0)",Population
0,"""111111010111111001100110""",1.7235480546951294,"(120.0, 1273.0, 38.0, 13.0)",Population
0,"""111011010010001110111001""",1.485381007194519,"(113.0, 1113.0, 47.0, 16.0)",Population
0,"""101110110010111101010010""",1.5726250410079956,"(94.0, 1134.0, 28.0, 9.0)",Population
0,"""110101000100001001010100""",1.7062519788742065,"(104.0, 717.0, 29.0, 10.0)",Population
1,"""110011101000001000100000""",1.008381962776184,"(102.0, 829.0, 35.0, 12.0)",Fittest
1,"""110111101000001000100000""",1.0630769729614258,"(108.0, 829.0, 35.0, 12.0)",Elite
1,"""110101000100001001110100""",1.0787010192871094,"(104.0, 717.0, 45.0, 15.0)",Elite
1,"""101111101110010011100111""",1.3365670442581177,"(95.0, 1003.0, 38.0, 13.0)",Population
1,"""111111101000001000100000""",1.0096549987792969,"(120.0, 829.0, 35.0, 12.0)",Population
1,"""101010000111000101101111""",1.141746997833252,"(87.0, 800.0, 42.0, 14.0)",Population
1,"""110011101000001000100000""",1.174994945526123,"(102.0, 829.0, 35.0, 12.0)",Population
1,"""110011101000001000100000""",0.9798250198364258,"(102.0, 829.0, 35.0, 12.0)",Population
1,"""111001101110000011011001""",0.8535919785499573,"(111.0, 996.0, 31.0, 10.0)",Population
1,"""110011101000001000100010""",0.8857049942016602,"(102.0, 829.0, 36.0, 12.0)",Population
1,"""110111101000001000100000""",1.108454942703247,"(108.0, 829.0, 35.0, 12.0)",Population
1,"""111001101110000011011001""",1.1630589962005615,"(111.0, 996.0, 31.0, 10.0)",Population
1,"""110111101000001000100000""",1.1824270486831665,"(108.0, 829.0, 35.0, 12.0)",Population
1,"""101011101110010011100111""",1.4705779552459717,"(89.0, 1003.0, 38.0, 13.0)",Population
1,"""110111101000001000100000""",1.1379369497299194,"(108.0, 829.0, 35.0, 12.0)",Population
1,"""110111101000001000100000""",1.1933900117874146,"(108.0, 829.0, 35.0, 12.0)",Population
1,"""110101100101101001010010""",1.722985029220581,"(105.0, 759.0, 28.0, 9.0)",Population
1,"""111111101000001000100000""",1.096045970916748,"(120.0, 829.0, 35.0, 12.0)",Population
1,"""111001101110000011011001""",1.319254994392395,"(111.0, 996.0, 31.0, 10.0)",Population
1,"""100011101011001000110111""",1.5790560245513916,"(76.0, 914.0, 46.0, 16.0)",Population
1,"""101111101110010011100111""",1.6579270362854004,"(95.0, 1003.0, 38.0, 13.0)",Population
1,"""110111101010001000101000""",0.8927969932556152,"(108.0, 885.0, 39.0, 13.0)",Population
1,"""110111101000001000100000""",1.5129679441452026,"(108.0, 829.0, 35.0, 12.0)",Population
1,"""110101000100001001110100""",1.1406669616699219,"(104.0, 717.0, 45.0, 15.0)",Population
1,"""110111101000001000100000""",1.6003259420394897,"(108.0, 829.0, 35.0, 12.0)",Population
1,"""110101101000001000100100""",1.4236489534378052,"(105.0, 829.0, 37.0, 12.0)",Population
1,"""110011000110001001110000""",0.866599977016449,"(101.0, 773.0, 43.0, 15.0)",Population
