,Generation,Solution,Fitness,Parameters,Fittest
26,0,"""110011101000001000100000""",1.00838196278,"(102.0, 829.0, 35.0, 12.0)",Population
39,1,"""111001101110000011011001""",0.85359197855,"(111.0, 996.0, 31.0, 10.0)",Population
62,2,"""111001101110000011011001""",0.85359197855,"(111.0, 996.0, 31.0, 10.0)",Fittest
93,3,"""111001101110000011011001""",0.85359197855,"(111.0, 996.0, 31.0, 10.0)",Fittest
124,4,"""111001101110000011011001""",0.85359197855,"(111.0, 996.0, 31.0, 10.0)",Fittest
155,5,"""111001101110000011011001""",0.85359197855,"(111.0, 996.0, 31.0, 10.0)",Fittest
186,6,"""111001101110000011011001""",0.85359197855,"(111.0, 996.0, 31.0, 10.0)",Fittest
217,7,"""111001101110000011011001""",0.85359197855,"(111.0, 996.0, 31.0, 10.0)",Fittest
248,8,"""111001101110000011011001""",0.85359197855,"(111.0, 996.0, 31.0, 10.0)",Fittest
283,9,"""111011101000001000100000""",0.739996016026,"(114.0, 829.0, 35.0, 12.0)",Population
310,10,"""111011101000001000100000""",0.739996016026,"(114.0, 829.0, 35.0, 12.0)",Fittest
341,11,"""111011101000001000100000""",0.739996016026,"(114.0, 829.0, 35.0, 12.0)",Fittest
372,12,"""111011101000001000100000""",0.739996016026,"(114.0, 829.0, 35.0, 12.0)",Fittest
403,13,"""111011101000001000100000""",0.739996016026,"(114.0, 829.0, 35.0, 12.0)",Fittest
434,14,"""111011101000001000100000""",0.739996016026,"(114.0, 829.0, 35.0, 12.0)",Fittest
473,15,"""111011101000011000110000""",0.718923985958,"(114.0, 836.0, 43.0, 15.0)",Population
496,16,"""111011101000011000110000""",0.718923985958,"(114.0, 836.0, 43.0, 15.0)",Fittest
527,17,"""111011101000011000110000""",0.718923985958,"(114.0, 836.0, 43.0, 15.0)",Fittest
558,18,"""111011101000011000110000""",0.718923985958,"(114.0, 836.0, 43.0, 15.0)",Fittest
589,19,"""111011101000011000110000""",0.718923985958,"(114.0, 836.0, 43.0, 15.0)",Fittest
620,20,"""111011101000011000110000""",0.718923985958,"(114.0, 836.0, 43.0, 15.0)",Fittest
676,21,"""111110000110001000110000""",0.615930974483,"(118.0, 773.0, 43.0, 15.0)",Population
682,22,"""111110000110001000110000""",0.615930974483,"(118.0, 773.0, 43.0, 15.0)",Fittest
713,23,"""111110000110001000110000""",0.615930974483,"(118.0, 773.0, 43.0, 15.0)",Fittest
744,24,"""111110000110001000110000""",0.615930974483,"(118.0, 773.0, 43.0, 15.0)",Fittest
775,25,"""111110000110001000110000""",0.615930974483,"(118.0, 773.0, 43.0, 15.0)",Fittest
806,26,"""111110000110001000110000""",0.615930974483,"(118.0, 773.0, 43.0, 15.0)",Fittest
837,27,"""111110000110001000110000""",0.615930974483,"(118.0, 773.0, 43.0, 15.0)",Fittest
868,28,"""111110000110001000110000""",0.615930974483,"(118.0, 773.0, 43.0, 15.0)",Fittest
899,29,"""111110000110001000110000""",0.615930974483,"(118.0, 773.0, 43.0, 15.0)",Fittest
