,Generation,Solution,Fitness,Parameters,Fittest
19,0,"""110001110100111101101100""",1.35538494587,"(98.0, 1190.0, 41.0, 14.0)",Population
34,1,"""111000010010110110100111""",1.15399599075,"(109.0, 1131.0, 38.0, 13.0)",Population
77,2,"""111000010010111110100101""",0.969558000565,"(109.0, 1134.0, 37.0, 12.0)",Population
93,3,"""111000010010111110100101""",0.969558000565,"(109.0, 1134.0, 37.0, 12.0)",Fittest
131,4,"""111000010010110110100111""",0.873861014843,"(109.0, 1131.0, 38.0, 13.0)",Population
155,5,"""111000010010110110100111""",0.873861014843,"(109.0, 1131.0, 38.0, 13.0)",Fittest
186,6,"""111000010010110110100111""",0.873861014843,"(109.0, 1131.0, 38.0, 13.0)",Fittest
217,7,"""111000010010110110100111""",0.873861014843,"(109.0, 1131.0, 38.0, 13.0)",Fittest
248,8,"""111000010010110110100111""",0.873861014843,"(109.0, 1131.0, 38.0, 13.0)",Fittest
279,9,"""111000010010110110100111""",0.873861014843,"(109.0, 1131.0, 38.0, 13.0)",Fittest
310,10,"""111000010010110110100111""",0.873861014843,"(109.0, 1131.0, 38.0, 13.0)",Fittest
341,11,"""111000010010110110100111""",0.873861014843,"(109.0, 1131.0, 38.0, 13.0)",Fittest
381,12,"""111000010010110110100111""",0.85873401165,"(109.0, 1131.0, 38.0, 13.0)",Population
403,13,"""111000010010110110100111""",0.85873401165,"(109.0, 1131.0, 38.0, 13.0)",Fittest
434,14,"""111000010010110110100111""",0.85873401165,"(109.0, 1131.0, 38.0, 13.0)",Fittest
465,15,"""111000010010110110100111""",0.85873401165,"(109.0, 1131.0, 38.0, 13.0)",Fittest
496,16,"""111000010010110110100111""",0.85873401165,"(109.0, 1131.0, 38.0, 13.0)",Fittest
527,17,"""111000010010110110100111""",0.85873401165,"(109.0, 1131.0, 38.0, 13.0)",Fittest
558,18,"""111000010010110110100111""",0.85873401165,"(109.0, 1131.0, 38.0, 13.0)",Fittest
589,19,"""111000010010110110100111""",0.85873401165,"(109.0, 1131.0, 38.0, 13.0)",Fittest
620,20,"""111000010010110110100111""",0.85873401165,"(109.0, 1131.0, 38.0, 13.0)",Fittest
651,21,"""111000010010110110100111""",0.85873401165,"(109.0, 1131.0, 38.0, 13.0)",Fittest
682,22,"""111000010010110110100111""",0.85873401165,"(109.0, 1131.0, 38.0, 13.0)",Fittest
713,23,"""111000010010110110100111""",0.85873401165,"(109.0, 1131.0, 38.0, 13.0)",Fittest
744,24,"""111000010010110110100111""",0.85873401165,"(109.0, 1131.0, 38.0, 13.0)",Fittest
775,25,"""111000010010110110100111""",0.85873401165,"(109.0, 1131.0, 38.0, 13.0)",Fittest
806,26,"""111000010010110110100111""",0.85873401165,"(109.0, 1131.0, 38.0, 13.0)",Fittest
837,27,"""111000010010110110100111""",0.85873401165,"(109.0, 1131.0, 38.0, 13.0)",Fittest
868,28,"""111000010010110110100111""",0.85873401165,"(109.0, 1131.0, 38.0, 13.0)",Fittest
899,29,"""111000010010110110100111""",0.85873401165,"(109.0, 1131.0, 38.0, 13.0)",Fittest
