Generation,Solution,Fitness,Parameters
0,"""100011000100000001""",1.9099650382995605,"(76.0, 713.0)"
0,"""011001000100111110""",1.4637609720230103,"(60.0, 740.0)"
0,"""100101001011011101""",1.2832119464874268,"(79.0, 923.0)"
0,"""101001100000000000""",2.566556930541992,"(86.0, 600.0)"
0,"""101010111010100010""",1.6287870407104492,"(87.0, 1347.0)"
0,"""110110001001001100""",0.7547940015792847,"(106.0, 859.0)"
0,"""101010111010011101""",1.7525279521942139,"(87.0, 1345.0)"
0,"""100011111100110100""",1.8422050476074219,"(76.0, 1411.0)"
0,"""101010111010101110""",1.7288910150527954,"(87.0, 1352.0)"
0,"""110001010100100110""",1.2580879926681519,"(98.0, 1180.0)"
0,"""101010111010100010""",1.8396300077438354,"(87.0, 1347.0)"
0,"""001011100101110101""",2.21492600440979,"(39.0, 764.0)"
0,"""011011000100111110""",2.5229790210723877,"(63.0, 740.0)"
1,"""000101110000111100""",3.304395914077759,"(29.0, 1077.0)"
1,"""100101001011011110""",1.4667760133743286,"(79.0, 923.0)"
1,"""100100001011000101""",1.6890850067138672,"(77.0, 912.0)"
1,"""101010111010011101""",1.8189799785614014,"(87.0, 1345.0)"
1,"""110100111101010110""",2.729465961456299,"(103.0, 1426.0)"
1,"""100101011010101110""",1.6661800146102905,"(79.0, 1352.0)"
1,"""011101010001100101""",1.7530410289764404,"(66.0, 1095.0)"
1,"""101010111011011101""",1.8136149644851685,"(87.0, 1373.0)"
2,"""000000101011011100""",2.546365976333618,"(21.0, 922.0)"
2,"""101011011010101110""",1.7247309684753418,"(88.0, 1352.0)"
2,"""100010101011010010""",1.1104259490966797,"(75.0, 918.0)"
2,"""100101001011011101""",1.3678359985351562,"(79.0, 923.0)"
2,"""010110110101111100""",1.9924540519714355,"(56.0, 1218.0)"
2,"""100100111011011101""",1.8197009563446045,"(78.0, 1373.0)"
2,"""000111000000000101""",2.3730390071868896,"(32.0, 603.0)"
2,"""100101001011011101""",1.5779160261154175,"(79.0, 923.0)"
3,"""111100010110111111""",1.8111180067062378,"(115.0, 1247.0)"
3,"""100101001011011101""",1.3865840435028076,"(79.0, 923.0)"
3,"""011011110111101111""",1.3392419815063477,"(64.0, 1268.0)"
3,"""100101001011011101""",1.7083220481872559,"(79.0, 923.0)"
3,"""100110000101011011""",1.9379620552062988,"(80.0, 753.0)"
3,"""100100111011011101""",1.6526089906692505,"(78.0, 1373.0)"
3,"""011001001011001011""",1.9173200130462646,"(60.0, 915.0)"
3,"""100101001011011101""",1.2626210451126099,"(79.0, 923.0)"
4,"""101000010100010101""",1.3226499557495117,"(83.0, 1173.0)"
4,"""100101001011011101""",1.5627939701080322,"(79.0, 923.0)"
4,"""000001010110101111""",5.064887046813965,"(22.0, 1240.0)"
4,"""100101001011011101""",1.099971055984497,"(79.0, 923.0)"
4,"""001011011011011000""",6.669479846954346,"(38.0, 1371.0)"
4,"""100101001011011101""",1.196702003479004,"(79.0, 923.0)"
4,"""100111010100101010""",1.3006900548934937,"(82.0, 1182.0)"
4,"""100101001011011101""",1.3876760005950928,"(79.0, 923.0)"
*,*,*,*
0,"""100101001011011101""",1.2832119464874268,"(79.0, 923.0)"
1,"""100101001011011101""",1.2832119464874268,"(79.0, 923.0)"
2,"""100101001011011101""",1.2832119464874268,"(79.0, 923.0)"
3,"""100101001011011101""",1.2626210451126099,"(79.0, 923.0)"
4,"""100101001011011101""",1.099971055984497,"(79.0, 923.0)"
