,Generation,Solution,Fitness,Parameters
7,0,111111100110000001,0.75823700428,"(120.0, 770.0)"
10,1,111001100100101111,0.989784002304,"(111.0, 734.0)"
16,2,011000100011001100,1.61917102337,"(59.0, 690.0)"
20,3,100110110000011001,1.15927004814,"(81.0, 1062.0)"
26,4,111111100001100001,1.85831904411,"(120.0, 643.0)"
