Generation,Solution,Fitness,Parameters
0,"""001010011000111001011010""",2.806710958480835,"(36.0, 1301.0, 32.0, 11.0)"
0,"""111110010101111110011101""",1.46676504611969,"(118.0, 1219.0, 33.0, 11.0)"
0,"""100011101100100110001101""",1.7638330459594727,"(76.0, 955.0, 25.0, 8.0)"
0,"""010010111001001111111110""",3.457871913909912,"(50.0, 1311.0, 50.0, 17.0)"
1,"""111110010101111110011101""",1.5359810590744019,"(118.0, 1219.0, 33.0, 11.0)"
1,"""011010110010000000101000""",2.0845069885253906,"(62.0, 1107.0, 39.0, 13.0)"
1,"""000011000111101111111011""",2.27976393699646,"(25.0, 818.0, 48.0, 16.0)"
1,"""111001110011111101101001""",0.9951500296592712,"(111.0, 1162.0, 39.0, 13.0)"
2,"""101001011110000010111110""",2.0855069160461426,"(85.0, 1446.0, 50.0, 17.0)"
2,"""101101101010100000100010""",1.926298975944519,"(92.0, 896.0, 36.0, 12.0)"
2,"""101111011000100110001110""",1.3461710214614868,"(95.0, 1293.0, 26.0, 9.0)"
2,"""011000000001011100110100""",1.8976130485534668,"(58.0, 641.0, 45.0, 15.0)"
3,"""001101010010010000010010""",3.3928520679473877,"(41.0, 1114.0, 28.0, 9.0)"
3,"""100100110001000101000111""",1.4980720281600952,"(78.0, 1081.0, 22.0, 7.0)"
3,"""001010011010000101100100""",3.769728899002075,"(36.0, 1334.0, 37.0, 12.0)"
3,"""010100101110110101000111""",2.1155989170074463,"(53.0, 1018.0, 22.0, 7.0)"
4,"""110101110101001000110011""",1.6270029544830322,"(105.0, 1195.0, 44.0, 15.0)"
4,"""011011001111010000000010""",1.6692019701004028,"(63.0, 1030.0, 20.0, 7.0)"
4,"""010000001000110111111101""",2.324295997619629,"(46.0, 850.0, 49.0, 17.0)"
4,"""011111010101010111001000""",1.6860979795455933,"(69.0, 1202.0, 23.0, 8.0)"
*,*,*,*
0,"""100011001001000010000001""",0.9780709743499756,"(76.0, 855.0, 19.0, 6.0)"
1,"""100011001001000010000001""",0.9780709743499756,"(76.0, 855.0, 19.0, 6.0)"
2,"""100011001001000010000001""",0.9780709743499756,"(76.0, 855.0, 19.0, 6.0)"
3,"""100011001001000010000001""",0.9780709743499756,"(76.0, 855.0, 19.0, 6.0)"
4,"""100011001001000010000001""",0.9780709743499756,"(76.0, 855.0, 19.0, 6.0)"
