,Generation,Solution,Fitness,Parameters
1,0,"""111110010101111110011101""",1.46676504612,"(118.0, 1219.0, 33.0, 11.0)"
7,1,"""111001110011111101101001""",0.995150029659,"(111.0, 1162.0, 39.0, 13.0)"
10,2,"""101111011000100110001110""",1.34617102146,"(95.0, 1293.0, 26.0, 9.0)"
13,3,"""100100110001000101000111""",1.49807202816,"(78.0, 1081.0, 22.0, 7.0)"
16,4,"""110101110101001000110011""",1.62700295448,"(105.0, 1195.0, 44.0, 15.0)"
