Generation,Solution,Fitness,Parameters
0,"""000100100001100010101111""",1.8155490159988403,"(28.0, 644.0, 42.0, 14.0)"
0,"""110110111100010001000100""",1.8428200483322144,"(106.0, 1396.0, 21.0, 7.0)"
0,"""101001001001001110100110""",1.6305830478668213,"(85.0, 860.0, 38.0, 13.0)"
0,"""010000110111001110010010""",3.5029430389404297,"(46.0, 1254.0, 28.0, 9.0)"
0,"""000100100001100010101111""",1.591493010520935,"(28.0, 644.0, 42.0, 14.0)"
1,"""000100100001100010101111""",1.591493010520935,"(28.0, 644.0, 42.0, 14.0)"
1,"""000000111000110110000100""",5.475719928741455,"(21.0, 1300.0, 21.0, 7.0)"
1,"""000101100111110110010010""",2.5421230792999268,"(29.0, 821.0, 28.0, 9.0)"
1,"""000010010010001101101101""",3.1511549949645996,"(24.0, 1113.0, 41.0, 14.0)"
1,"""001101101010011100001101""",2.6034319400787354,"(42.0, 894.0, 25.0, 8.0)"
2,"""000100100001100010101111""",1.591493010520935,"(28.0, 644.0, 42.0, 14.0)"
2,"""010111111001011000000001""",2.1529319286346436,"(58.0, 1315.0, 19.0, 6.0)"
2,"""001001111000000001011010""",3.5205750465393066,"(35.0, 1276.0, 32.0, 11.0)"
2,"""010100000010101101111010""",2.202241897583008,"(52.0, 677.0, 48.0, 16.0)"
2,"""101100111111000111111011""",1.9441659450531006,"(91.0, 1476.0, 48.0, 16.0)"
3,"""000100100001100010101111""",1.591493010520935,"(28.0, 644.0, 42.0, 14.0)"
3,"""000011000001001100000001""",2.23968505859375,"(25.0, 634.0, 19.0, 6.0)"
3,"""011001001011001010101000""",1.6755930185317993,"(60.0, 914.0, 39.0, 13.0)"
3,"""000111100111101001010101""",2.93847393989563,"(32.0, 815.0, 29.0, 10.0)"
3,"""011010111110001111010000""",1.9456679821014404,"(62.0, 1451.0, 27.0, 9.0)"
4,"""000100100001100010101111""",1.591493010520935,"(28.0, 644.0, 42.0, 14.0)"
4,"""011010111110001111010000""",1.9937180280685425,"(62.0, 1451.0, 27.0, 9.0)"
4,"""000000000101101110111010""",2.040052890777588,"(20.0, 761.0, 48.0, 16.0)"
4,"""000111101010001110111001""",2.1470799446105957,"(32.0, 888.0, 47.0, 16.0)"
4,"""111101111111101111110111""",1.9944360256195068,"(117.0, 1493.0, 46.0, 16.0)"
*,*,*,*
0,"""000100100001100010101111""",1.591493010520935,"(28.0, 644.0, 42.0, 14.0)"
1,"""000100100001100010101111""",1.591493010520935,"(28.0, 644.0, 42.0, 14.0)"
2,"""000100100001100010101111""",1.591493010520935,"(28.0, 644.0, 42.0, 14.0)"
3,"""000100100001100010101111""",1.591493010520935,"(28.0, 644.0, 42.0, 14.0)"
4,"""000100100001100010101111""",1.591493010520935,"(28.0, 644.0, 42.0, 14.0)"
