,Generation,Solution,Fitness,Parameters
4,0,"""000100100001100010101111""",1.59149301052,"(28.0, 644.0, 42.0, 14.0)"
5,1,"""000100100001100010101111""",1.59149301052,"(28.0, 644.0, 42.0, 14.0)"
10,2,"""000100100001100010101111""",1.59149301052,"(28.0, 644.0, 42.0, 14.0)"
15,3,"""000100100001100010101111""",1.59149301052,"(28.0, 644.0, 42.0, 14.0)"
20,4,"""000100100001100010101111""",1.59149301052,"(28.0, 644.0, 42.0, 14.0)"
