,Generation,Solution,Fitness,Parameters
3,0,"""101001101110110001100111""",1.96463704109,"(86.0, 1016.0, 38.0, 13.0)"
5,1,"""101001101010010101000000""",0.736855983734,"(86.0, 891.0, 18.0, 6.0)"
8,2,"""100011011111100101000110""",2.00258994102,"(76.0, 1489.0, 22.0, 7.0)"
13,3,"""011100111011101101010011""",1.70877897739,"(65.0, 1380.0, 28.0, 9.0)"
16,4,"""010000100100010010110011""",1.69488203526,"(46.0, 721.0, 44.0, 15.0)"
