,Generation,Solution,Fitness,Parameters
2,0,"""111001011000101100110000""",1.26710903645,"(110.0, 1295.0, 43.0, 15.0)"
6,1,"""101010011100001010111100""",1.82616996765,"(87.0, 1393.0, 49.0, 17.0)"
10,2,"""111001011000101100110110""",1.40597200394,"(110.0, 1295.0, 46.0, 16.0)"
12,3,"""111001011000101100110000""",1.57861804962,"(110.0, 1295.0, 43.0, 15.0)"
16,4,"""111011011000101100110000""",1.43649494648,"(113.0, 1295.0, 43.0, 15.0)"
21,5,"""111011011000101100110000""",1.1792730093,"(113.0, 1295.0, 43.0, 15.0)"
24,6,"""111001011000101100110000""",1.56310105324,"(110.0, 1295.0, 43.0, 15.0)"
31,7,"""111001011000101100110000""",1.7043620348,"(110.0, 1295.0, 43.0, 15.0)"
