Generation,Solution,Fitness,Parameters
0,"""001100010111000111110010""",3.721606969833374,"(39.0, 1251.0, 44.0, 15.0)"
0,"""011010011100001010111100""",3.131103038787842,"(61.0, 1393.0, 49.0, 17.0)"
0,"""111001011000101100110000""",1.2671090364456177,"(110.0, 1295.0, 43.0, 15.0)"
0,"""100010011100001010110000""",2.627953052520752,"(74.0, 1393.0, 43.0, 15.0)"
1,"""100010011100001000110000""",2.269468069076538,"(74.0, 1392.0, 43.0, 15.0)"
1,"""111001011000101101000110""",2.0132129192352295,"(110.0, 1296.0, 22.0, 7.0)"
1,"""101010011100001010111100""",1.8261699676513672,"(87.0, 1393.0, 49.0, 17.0)"
1,"""100010011100001010110000""",2.1316781044006348,"(74.0, 1393.0, 43.0, 15.0)"
2,"""101001011000101100110000""",1.8371260166168213,"(85.0, 1295.0, 43.0, 15.0)"
2,"""111001011000101110111100""",1.6663529872894287,"(110.0, 1296.0, 49.0, 17.0)"
2,"""111001011000101100110110""",1.4059720039367676,"(110.0, 1295.0, 46.0, 16.0)"
2,"""100010011100001010110000""",2.843770980834961,"(74.0, 1393.0, 43.0, 15.0)"
3,"""111001011000101100110000""",1.578618049621582,"(110.0, 1295.0, 43.0, 15.0)"
3,"""111001011000101100110110""",1.689100980758667,"(110.0, 1295.0, 46.0, 16.0)"
3,"""101001011000101100110110""",1.8418769836425781,"(85.0, 1295.0, 46.0, 16.0)"
3,"""111001011010101100110110""",1.6145570278167725,"(110.0, 1351.0, 46.0, 16.0)"
4,"""111011011000101100110000""",1.4364949464797974,"(113.0, 1295.0, 43.0, 15.0)"
4,"""111001011000101100110110""",1.7655129432678223,"(110.0, 1295.0, 46.0, 16.0)"
4,"""111001011000101100110000""",1.5252020359039307,"(110.0, 1295.0, 43.0, 15.0)"
4,"""111001011000101100110110""",1.6659339666366577,"(110.0, 1295.0, 46.0, 16.0)"
5,"""111001011000101100110000""",1.5543270111083984,"(110.0, 1295.0, 43.0, 15.0)"
5,"""111011011000101100110000""",1.179273009300232,"(113.0, 1295.0, 43.0, 15.0)"
5,"""111011011000101100110000""",1.5250489711761475,"(113.0, 1295.0, 43.0, 15.0)"
5,"""111001011000101100110000""",1.3618589639663696,"(110.0, 1295.0, 43.0, 15.0)"
6,"""111001011000101100110000""",1.563101053237915,"(110.0, 1295.0, 43.0, 15.0)"
6,"""111011011000101100110000""",1.6722439527511597,"(113.0, 1295.0, 43.0, 15.0)"
6,"""111011011000101100110000""",1.5683519840240479,"(113.0, 1295.0, 43.0, 15.0)"
6,"""111001011000101100110000""",1.7318700551986694,"(110.0, 1295.0, 43.0, 15.0)"
7,"""111001011000101100110000""",1.751966953277588,"(110.0, 1295.0, 43.0, 15.0)"
7,"""111011011000101100110000""",1.8557989597320557,"(113.0, 1295.0, 43.0, 15.0)"
7,"""111001011000101100110000""",1.837151050567627,"(110.0, 1295.0, 43.0, 15.0)"
7,"""111001011000101100110000""",1.7043620347976685,"(110.0, 1295.0, 43.0, 15.0)"
*,*,*,*
0,"""111001011000101100110000""",1.2671090364456177,"(110.0, 1295.0)"
1,"""111001011000101100110000""",1.2671090364456177,"(110.0, 1295.0)"
2,"""111001011000101100110000""",1.2671090364456177,"(110.0, 1295.0)"
3,"""111001011000101100110000""",1.2671090364456177,"(110.0, 1295.0)"
4,"""111001011000101100110000""",1.2671090364456177,"(110.0, 1295.0)"
5,"""111011011000101100110000""",1.179273009300232,"(113.0, 1295.0)"
6,"""111001011000101100110000""",1.563101053237915,"(110.0, 1295.0)"
7,"""111001011000101100110000""",1.7043620347976685,"(110.0, 1295.0)"
