Generation,Solution,Fitness,Parameters
0,"""010011110110011000100100""",2.8313729763031006,"(51.0, 1230.0, 37.0, 12.0)"
0,"""111011110010011000000100""",1.4104340076446533,"(114.0, 1118.0, 21.0, 7.0)"
0,"""011100011001100001110100""",2.498044967651367,"(65.0, 1318.0, 45.0, 15.0)"
0,"""010000011011001001101000""",3.283705949783325,"(46.0, 1364.0, 39.0, 13.0)"
0,"""101110111001101010000000""",2.1613049507141113,"(94.0, 1322.0, 18.0, 6.0)"
0,"""000010110000110011110010""",3.011773109436035,"(24.0, 1073.0, 44.0, 15.0)"
0,"""101000101010001010100100""",2.052964925765991,"(84.0, 886.0, 37.0, 12.0)"
0,"""100000010101010110000000""",1.3256789445877075,"(71.0, 1201.0, 18.0, 6.0)"
0,"""101100101111101001111110""",1.4620649814605713,"(91.0, 1041.0, 50.0, 17.0)"
0,"""100000011001111001010000""",1.688127040863037,"(71.0, 1329.0, 27.0, 9.0)"
0,"""101100001100101010111100""",2.004585027694702,"(90.0, 957.0, 49.0, 17.0)"
1,"""101100010111101011010001""",1.3115270137786865,"(90.0, 1267.0, 27.0, 9.0)"
1,"""101100001100101010111000""",1.4313069581985474,"(90.0, 957.0, 47.0, 16.0)"
1,"""001010110100001110001011""",3.9973371028900146,"(37.0, 1169.0, 24.0, 8.0)"
1,"""111100000100000111100010""",1.3755379915237427,"(115.0, 716.0, 36.0, 12.0)"
1,"""101100001100101010111100""",2.0587210655212402,"(90.0, 957.0, 49.0, 17.0)"
1,"""001100100110011001001100""",1.934569001197815,"(40.0, 780.0, 25.0, 8.0)"
1,"""111011010010011010000100""",1.3627660274505615,"(113.0, 1118.0, 21.0, 7.0)"
1,"""111010100011000101010100""",1.8480080366134644,"(113.0, 687.0, 29.0, 10.0)"
1,"""110101000001111100010111""",1.3770289421081543,"(104.0, 655.0, 30.0, 10.0)"
1,"""100100011111110101101101""",2.056006908416748,"(77.0, 1496.0, 41.0, 14.0)"
1,"""011111111010000111101100""",3.036250114440918,"(70.0, 1335.0, 41.0, 14.0)"
2,"""111100101010010011100010""",1.2202179431915283,"(116.0, 890.0, 36.0, 12.0)"
2,"""000101000100010011011111""",1.9539400339126587,"(28.0, 721.0, 34.0, 11.0)"
2,"""110111000110101111001101""",1.0332330465316772,"(107.0, 790.0, 25.0, 8.0)"
2,"""001010111010000010010000""",4.7873311042785645,"(37.0, 1333.0, 27.0, 9.0)"
2,"""011111100011001000110001""",1.592419981956482,"(70.0, 688.0, 43.0, 15.0)"
2,"""011110000001101101111010""",1.8982130289077759,"(68.0, 648.0, 48.0, 16.0)"
2,"""001101010001110001111011""",3.0421040058135986,"(41.0, 1100.0, 48.0, 16.0)"
2,"""100100011111100101101001""",1.9959479570388794,"(77.0, 1489.0, 39.0, 13.0)"
2,"""101101000000001100111101""",1.4315520524978638,"(91.0, 606.0, 49.0, 17.0)"
2,"""101011111101011011010111""",1.4773930311203003,"(89.0, 1428.0, 30.0, 10.0)"
2,"""100011011111110110100000""",1.7748039960861206,"(76.0, 1497.0, 35.0, 12.0)"
3,"""011111100011001000110001""",1.5526789426803589,"(70.0, 688.0, 43.0, 15.0)"
3,"""100100100000010001011011""",1.5642529726028442,"(78.0, 608.0, 32.0, 11.0)"
3,"""101010101101010000100111""",1.898833990097046,"(87.0, 973.0, 38.0, 13.0)"
3,"""010100001001111101100011""",2.238024950027466,"(52.0, 881.0, 36.0, 12.0)"
3,"""110011001101110101001101""",0.8044639825820923,"(101.0, 990.0, 25.0, 8.0)"
3,"""101000011101111101010011""",1.7938040494918823,"(83.0, 1443.0, 28.0, 9.0)"
3,"""001001000000011101011011""",1.371575951576233,"(35.0, 613.0, 32.0, 11.0)"
3,"""100000101001101100111110""",1.8241239786148071,"(72.0, 873.0, 50.0, 17.0)"
3,"""111001000011100101110100""",1.7301959991455078,"(110.0, 701.0, 45.0, 15.0)"
3,"""010110111101111010111110""",3.8319449424743652,"(56.0, 1442.0, 50.0, 17.0)"
3,"""111100101010010011100010""",0.9385790228843689,"(116.0, 890.0, 36.0, 12.0)"
4,"""110101000110101111001101""",1.7080589532852173,"(104.0, 790.0, 25.0, 8.0)"
4,"""111111011110101010110101""",1.8916219472885132,"(120.0, 1463.0, 45.0, 15.0)"
4,"""110011010001111010011000""",1.244354009628296,"(101.0, 1104.0, 31.0, 10.0)"
4,"""111110101001010100000000""",0.9543840289115906,"(119.0, 863.0, 18.0, 6.0)"
4,"""110010110001110111001000""",1.1027569770812988,"(100.0, 1103.0, 23.0, 8.0)"
4,"""110011000111111100011101""",2.1684908866882324,"(101.0, 824.0, 33.0, 11.0)"
4,"""111110000011010100010001""",1.618399977684021,"(118.0, 694.0, 27.0, 9.0)"
4,"""010010111010101110001010""",3.224052906036377,"(50.0, 1352.0, 24.0, 8.0)"
4,"""101001110010010011100010""",1.9618829488754272,"(86.0, 1115.0, 36.0, 12.0)"
4,"""110110001111111101011101""",1.014361023902893,"(106.0, 1049.0, 33.0, 11.0)"
4,"""111100111010001011110011""",1.3072099685668945,"(116.0, 1337.0, 44.0, 15.0)"
5,"""000111111001101100000100""",6.375072002410889,"(32.0, 1323.0, 21.0, 7.0)"
5,"""111110101011010100000000""",1.084509015083313,"(119.0, 919.0, 18.0, 6.0)"
5,"""110011011110111100110010""",2.032202959060669,"(101.0, 1471.0, 44.0, 15.0)"
5,"""111111011110101010110101""",1.7837309837341309,"(120.0, 1463.0, 45.0, 15.0)"
5,"""011010110001110001001111""",2.1662681102752686,"(62.0, 1100.0, 26.0, 9.0)"
5,"""011001110110010110101000""",3.5722711086273193,"(61.0, 1229.0, 39.0, 13.0)"
5,"""011011010111001010010110""",2.112252950668335,"(63.0, 1252.0, 30.0, 10.0)"
5,"""110011010001111010011000""",1.2172009944915771,"(101.0, 1104.0, 31.0, 10.0)"
5,"""111110101011010100000000""",1.1711770296096802,"(119.0, 919.0, 18.0, 6.0)"
5,"""110011111001111011011000""",1.5739580392837524,"(102.0, 1330.0, 31.0, 10.0)"
5,"""010101101111110110001001""",2.1636788845062256,"(54.0, 1046.0, 23.0, 8.0)"
6,"""010001101011101010001111""",2.6443369388580322,"(48.0, 928.0, 26.0, 9.0)"
6,"""010011100011111001000001""",2.0381760597229004,"(51.0, 710.0, 19.0, 6.0)"
6,"""111110010111101001111111""",1.4580270051956177,"(118.0, 1266.0, 50.0, 17.0)"
6,"""101100010001010101111101""",1.9586540460586548,"(90.0, 1088.0, 49.0, 17.0)"
6,"""100111010000010011100000""",1.836398959159851,"(82.0, 1059.0, 35.0, 12.0)"
6,"""111110101011010100000100""",1.0645990371704102,"(119.0, 919.0, 21.0, 7.0)"
6,"""110011111001111011011000""",1.6055480241775513,"(102.0, 1330.0, 31.0, 10.0)"
6,"""001111101100001001001101""",2.4291141033172607,"(45.0, 942.0, 25.0, 8.0)"
6,"""010000100001001101010111""",2.5749740600585938,"(46.0, 634.0, 30.0, 10.0)"
6,"""100111010001000001101010""",1.8165379762649536,"(82.0, 1079.0, 40.0, 14.0)"
6,"""001100011001111011011110""",3.1388909816741943,"(39.0, 1330.0, 34.0, 11.0)"
7,"""110001000100010110011001""",1.9425599575042725,"(98.0, 723.0, 31.0, 10.0)"
7,"""111110000010100000110111""",1.8391209840774536,"(118.0, 671.0, 46.0, 16.0)"
7,"""000001010011101010011111""",3.1392738819122314,"(22.0, 1154.0, 34.0, 11.0)"
7,"""110110100111001111101100""",2.360619068145752,"(106.0, 804.0, 41.0, 14.0)"
7,"""011001101111100101100110""",2.5004239082336426,"(61.0, 1039.0, 38.0, 13.0)"
7,"""111110101011010100000000""",1.2557799816131592,"(119.0, 919.0, 18.0, 6.0)"
7,"""111110010111101001111111""",1.4670380353927612,"(118.0, 1266.0, 50.0, 17.0)"
7,"""000101101101111111010000""",2.847153902053833,"(29.0, 994.0, 27.0, 9.0)"
7,"""000000000011111111010000""",2.958400011062622,"(20.0, 713.0, 27.0, 9.0)"
7,"""000111010100010101000110""",4.600401878356934,"(32.0, 1173.0, 22.0, 7.0)"
7,"""010111101010100001010100""",2.4255189895629883,"(58.0, 896.0, 29.0, 10.0)"
8,"""000010001111001110000000""",3.4771840572357178,"(24.0, 1029.0, 18.0, 6.0)"
8,"""101100001111011111000001""",1.1382739543914795,"(90.0, 1036.0, 19.0, 6.0)"
8,"""111110101011010100000000""",1.2971760034561157,"(119.0, 919.0, 18.0, 6.0)"
8,"""110010011001111010000011""",1.835273027420044,"(99.0, 1329.0, 20.0, 7.0)"
8,"""111110000010100000110111""",1.5434069633483887,"(118.0, 671.0, 46.0, 16.0)"
8,"""001010001000110100001101""",2.5030460357666016,"(36.0, 848.0, 25.0, 8.0)"
8,"""110001000010010110110100""",1.4845550060272217,"(98.0, 666.0, 45.0, 15.0)"
8,"""100111000010001110001100""",1.8891609907150269,"(82.0, 663.0, 25.0, 8.0)"
8,"""010011000010000000111110""",2.4742960929870605,"(50.0, 657.0, 50.0, 17.0)"
8,"""111110101011010100000000""",1.2032339572906494,"(119.0, 919.0, 18.0, 6.0)"
8,"""010000010100111010001000""",3.298672914505005,"(46.0, 1189.0, 23.0, 8.0)"
*,*,*,*
0,"""100000010101010110000000""",1.3256789445877075,"(71.0, 1201.0, 18.0, 6.0)"
1,"""101100010111101011010001""",1.3115270137786865,"(90.0, 1267.0, 27.0, 9.0)"
2,"""110111000110101111001101""",1.0332330465316772,"(107.0, 790.0, 25.0, 8.0)"
3,"""110011001101110101001101""",0.8044639825820923,"(101.0, 990.0, 25.0, 8.0)"
4,"""110011001101110101001101""",0.8044639825820923,"(101.0, 990.0, 25.0, 8.0)"
5,"""110011001101110101001101""",0.8044639825820923,"(101.0, 990.0, 25.0, 8.0)"
6,"""110011001101110101001101""",0.8044639825820923,"(101.0, 990.0, 25.0, 8.0)"
7,"""110011001101110101001101""",0.8044639825820923,"(101.0, 990.0, 25.0, 8.0)"
8,"""110011001101110101001101""",0.8044639825820923,"(101.0, 990.0, 25.0, 8.0)"
