Generation,Solution,Fitness,Parameters
0,"""010101000011101110""",2.0873780250549316,"(54.0, 705.0)"
0,"""100001001010110010""",1.694282054901123,"(72.0, 904.0)"
0,"""100001001010000001""",1.6430460214614868,"(72.0, 882.0)"
0,"""010101000011101110""",2.3951849937438965,"(54.0, 705.0)"
0,"""010101000011101110""",1.6263179779052734,"(54.0, 705.0)"
1,"""010101000011101110""",2.0504660606384277,"(54.0, 705.0)"
1,"""100001001010000001""",2.1482911109924316,"(72.0, 882.0)"
1,"""010101000011100001""",2.023228883743286,"(54.0, 699.0)"
1,"""100001001010000001""",1.702375054359436,"(72.0, 882.0)"
1,"""100001001010000001""",1.6704620122909546,"(72.0, 882.0)"
2,"""100001001010000001""",1.907994031906128,"(72.0, 882.0)"
2,"""100001000011101110""",1.452023983001709,"(72.0, 705.0)"
2,"""010101001010000001""",2.388619899749756,"(54.0, 882.0)"
2,"""100001011010000001""",1.4157480001449585,"(72.0, 1333.0)"
2,"""100001001011100001""",1.7022229433059692,"(72.0, 925.0)"
3,"""100001011010000001""",1.5018060207366943,"(72.0, 1333.0)"
3,"""100001011010100001""",1.7524609565734863,"(72.0, 1347.0)"
3,"""100001001010000001""",1.3296350240707397,"(72.0, 882.0)"
3,"""100001001011100010""",1.625520944595337,"(72.0, 925.0)"
3,"""100001001011100001""",1.7053910493850708,"(72.0, 925.0)"
4,"""100001001010000001""",1.6565669775009155,"(72.0, 882.0)"
4,"""100001001011100010""",1.383821964263916,"(72.0, 925.0)"
4,"""100001001010000010""",1.4385360479354858,"(72.0, 883.0)"
4,"""100001011010000001""",1.3475780487060547,"(72.0, 1333.0)"
4,"""100001001011100001""",1.6969159841537476,"(72.0, 925.0)"
*,*,*,*
0,"""010101000011101110""",1.6263179779052734,"(54.0, 705.0)"
1,"""100001001010000001""",1.6704620122909546,"(72.0, 882.0)"
2,"""100001011010000001""",1.4157480001449585,"(72.0, 1333.0)"
3,"""100001001010000001""",1.3296350240707397,"(72.0, 882.0)"
4,"""100001011010000001""",1.3475780487060547,"(72.0, 1333.0)"
