,Generation,Solution,Fitness,Parameters
4,0,"""010101000011101110""",1.62631797791,"(54.0, 705.0)"
9,1,"""100001001010000001""",1.67046201229,"(72.0, 882.0)"
13,2,"""100001011010000001""",1.41574800014,"(72.0, 1333.0)"
17,3,"""100001001010000001""",1.32963502407,"(72.0, 882.0)"
23,4,"""100001011010000001""",1.34757804871,"(72.0, 1333.0)"
