,Generation,Solution,Fitness,Parameters,Fittest
26,0,"""110011011001010011110100""",1.36237502098,"(101.0, 1312.0, 45.0, 15.0)",Population
31,1,"""110011011001010011110100""",1.36237502098,"(101.0, 1312.0, 45.0, 15.0)",Fittest
62,2,"""110011011001010011110100""",1.36237502098,"(101.0, 1312.0, 45.0, 15.0)",Fittest
93,3,"""110011011001010011110100""",1.36237502098,"(101.0, 1312.0, 45.0, 15.0)",Fittest
124,4,"""110011011001010011110100""",1.36237502098,"(101.0, 1312.0, 45.0, 15.0)",Fittest
155,5,"""110011011001010011110100""",1.36237502098,"(101.0, 1312.0, 45.0, 15.0)",Fittest
186,6,"""110011011001010011110100""",1.36237502098,"(101.0, 1312.0, 45.0, 15.0)",Fittest
221,7,"""111011011001010011110100""",0.905169010162,"(113.0, 1312.0, 45.0, 15.0)",Population
248,8,"""111011011001010011110100""",0.905169010162,"(113.0, 1312.0, 45.0, 15.0)",Fittest
279,9,"""111011011001010011110100""",0.905169010162,"(113.0, 1312.0, 45.0, 15.0)",Fittest
310,10,"""111011011001010011110100""",0.905169010162,"(113.0, 1312.0, 45.0, 15.0)",Fittest
341,11,"""111011011001010011110100""",0.905169010162,"(113.0, 1312.0, 45.0, 15.0)",Fittest
372,12,"""111011011001010011110100""",0.905169010162,"(113.0, 1312.0, 45.0, 15.0)",Fittest
403,13,"""111011011001010011110100""",0.905169010162,"(113.0, 1312.0, 45.0, 15.0)",Fittest
434,14,"""111011011001010011110100""",0.905169010162,"(113.0, 1312.0, 45.0, 15.0)",Fittest
465,15,"""111011011001010011110100""",0.905169010162,"(113.0, 1312.0, 45.0, 15.0)",Fittest
496,16,"""111011011001010011110100""",0.905169010162,"(113.0, 1312.0, 45.0, 15.0)",Fittest
527,17,"""111011011001010011110100""",0.905169010162,"(113.0, 1312.0, 45.0, 15.0)",Fittest
558,18,"""111011011001010011110100""",0.905169010162,"(113.0, 1312.0, 45.0, 15.0)",Fittest
589,19,"""111011011001010011110100""",0.905169010162,"(113.0, 1312.0, 45.0, 15.0)",Fittest
620,20,"""111011011001010011110100""",0.905169010162,"(113.0, 1312.0, 45.0, 15.0)",Fittest
651,21,"""111011011001010011110100""",0.905169010162,"(113.0, 1312.0, 45.0, 15.0)",Fittest
682,22,"""111011011001010011110100""",0.905169010162,"(113.0, 1312.0, 45.0, 15.0)",Fittest
713,23,"""111011011001010011110100""",0.905169010162,"(113.0, 1312.0, 45.0, 15.0)",Fittest
744,24,"""111011011001010011110100""",0.905169010162,"(113.0, 1312.0, 45.0, 15.0)",Fittest
775,25,"""111011011001010011110100""",0.905169010162,"(113.0, 1312.0, 45.0, 15.0)",Fittest
806,26,"""111011011001010011110100""",0.905169010162,"(113.0, 1312.0, 45.0, 15.0)",Fittest
837,27,"""111011011001010011110100""",0.905169010162,"(113.0, 1312.0, 45.0, 15.0)",Fittest
868,28,"""111011011001010011110100""",0.905169010162,"(113.0, 1312.0, 45.0, 15.0)",Fittest
899,29,"""111011011001010011110100""",0.905169010162,"(113.0, 1312.0, 45.0, 15.0)",Fittest
