Generation,Solution,Fitness,Parameters,Fittest
0,"""110011011001010011110100""",1.6837960481643677,"(101.0, 1312.0, 45.0, 15.0)",Fittest
0,"""101100010111111101011011""",2.0840060710906982,"(90.0, 1275.0, 32.0, 11.0)",Elite
0,"""110101110110001100110000""",2.2029480934143066,"(105.0, 1225.0, 43.0, 15.0)",Elite
0,"""101100010101110110111000""",5.0010881423950195,"(90.0, 1215.0, 47.0, 16.0)",Population
0,"""110101100111110001001011""",3.1632070541381836,"(105.0, 819.0, 24.0, 8.0)",Population
0,"""101110000011011010110100""",2.7497079372406006,"(93.0, 696.0, 45.0, 15.0)",Population
0,"""101100010111111101011011""",2.340967893600464,"(90.0, 1275.0, 32.0, 11.0)",Population
0,"""110011011001010011100100""",1.6476229429244995,"(101.0, 1312.0, 37.0, 12.0)",Population
0,"""101110100011011010110100""",3.0523300170898438,"(94.0, 696.0, 45.0, 15.0)",Population
0,"""101110100011011010110100""",2.972292900085449,"(94.0, 696.0, 45.0, 15.0)",Population
0,"""101001101010011100010000""",3.676934003829956,"(86.0, 894.0, 27.0, 9.0)",Population
0,"""101100010101110110111000""",2.9565019607543945,"(90.0, 1215.0, 47.0, 16.0)",Population
0,"""111100000100110011110101""",2.945436954498291,"(115.0, 735.0, 45.0, 15.0)",Population
0,"""110011011001010011110100""",1.6633670330047607,"(101.0, 1312.0, 45.0, 15.0)",Population
0,"""101100010111111101011011""",2.3911049365997314,"(90.0, 1275.0, 32.0, 11.0)",Population
0,"""101100010111111101011011""",2.0236849784851074,"(90.0, 1275.0, 32.0, 11.0)",Population
0,"""101100010101110110111000""",2.4491920471191406,"(90.0, 1215.0, 47.0, 16.0)",Population
0,"""110101110110001100110000""",1.8148080110549927,"(105.0, 1225.0, 43.0, 15.0)",Population
0,"""100110100111000000111011""",3.350719928741455,"(81.0, 797.0, 48.0, 16.0)",Population
0,"""101100010111111101011011""",1.9848510026931763,"(90.0, 1275.0, 32.0, 11.0)",Population
0,"""101110100011011010110100""",2.7837390899658203,"(94.0, 696.0, 45.0, 15.0)",Population
0,"""110101101000111110100111""",2.590285062789917,"(105.0, 853.0, 38.0, 13.0)",Population
0,"""101001101010011100010000""",4.079929828643799,"(86.0, 894.0, 27.0, 9.0)",Population
0,"""100110011100100100010110""",2.655298948287964,"(80.0, 1404.0, 30.0, 10.0)",Population
0,"""010101101110001001110100""",3.4804749488830566,"(54.0, 998.0, 45.0, 15.0)",Population
0,"""100100010111111101011011""",2.0991709232330322,"(77.0, 1275.0, 32.0, 11.0)",Population
0,"""110011011001010011110100""",1.362375020980835,"(101.0, 1312.0, 45.0, 15.0)",Population
0,"""100110011100101100010110""",3.1593759059906006,"(80.0, 1408.0, 30.0, 10.0)",Population
0,"""110011011001010011111100""",2.4461541175842285,"(101.0, 1312.0, 49.0, 17.0)",Population
0,"""101100010101110110111000""",4.066112041473389,"(90.0, 1215.0, 47.0, 16.0)",Population
0,"""110011011001010011110100""",1.9286730289459229,"(101.0, 1312.0, 45.0, 15.0)",Population
1,"""110011011001010011110100""",1.362375020980835,"(101.0, 1312.0, 45.0, 15.0)",Fittest
1,"""110011011001010011100100""",1.6476229429244995,"(101.0, 1312.0, 37.0, 12.0)",Elite
1,"""110011011001010011110100""",1.6633670330047607,"(101.0, 1312.0, 45.0, 15.0)",Elite
1,"""110011011001010011110100""",2.0432519912719727,"(101.0, 1312.0, 45.0, 15.0)",Population
1,"""100100010111111101011011""",3.184662103652954,"(77.0, 1275.0, 32.0, 11.0)",Population
1,"""110011011001010011111100""",1.9580049514770508,"(101.0, 1312.0, 49.0, 17.0)",Population
1,"""100100010111111101011011""",3.215970039367676,"(77.0, 1275.0, 32.0, 11.0)",Population
1,"""010101110110001100110000""",4.077754020690918,"(54.0, 1225.0, 43.0, 15.0)",Population
1,"""110011011001010011110100""",1.4811830520629883,"(101.0, 1312.0, 45.0, 15.0)",Population
1,"""110101110110001100110000""",1.8573319911956787,"(105.0, 1225.0, 43.0, 15.0)",Population
1,"""110011011001010011110100""",1.794708013534546,"(101.0, 1312.0, 45.0, 15.0)",Population
1,"""110011011001010011110100""",1.4560610055923462,"(101.0, 1312.0, 45.0, 15.0)",Population
1,"""100101110110001100110000""",3.290379047393799,"(80.0, 1225.0, 43.0, 15.0)",Population
1,"""110101110110001100110000""",2.129331111907959,"(105.0, 1225.0, 43.0, 15.0)",Population
1,"""100100010111111101011001""",2.6845920085906982,"(77.0, 1275.0, 31.0, 10.0)",Population
1,"""110011011001010011110100""",1.7140710353851318,"(101.0, 1312.0, 45.0, 15.0)",Population
1,"""110101110110001100110000""",2.489098072052002,"(105.0, 1225.0, 43.0, 15.0)",Population
1,"""101100010111111101010110""",1.8819890022277832,"(90.0, 1275.0, 30.0, 10.0)",Population
1,"""100110011100100100011011""",1.8730510473251343,"(80.0, 1404.0, 32.0, 11.0)",Population
1,"""110011011001010011110100""",1.8988319635391235,"(101.0, 1312.0, 45.0, 15.0)",Population
1,"""110101110110001100110000""",1.8128360509872437,"(105.0, 1225.0, 43.0, 15.0)",Population
1,"""110011011001010011100100""",2.2807528972625732,"(101.0, 1312.0, 37.0, 12.0)",Population
1,"""110011011001010011110100""",2.077609062194824,"(101.0, 1312.0, 45.0, 15.0)",Population
1,"""110011010001010011110100""",1.7391539812088013,"(101.0, 1087.0, 45.0, 15.0)",Population
1,"""100100010111111101011011""",3.8509790897369385,"(77.0, 1275.0, 32.0, 11.0)",Population
1,"""110011011001010011100100""",1.8064329624176025,"(101.0, 1312.0, 37.0, 12.0)",Population
1,"""110101110110001100110000""",2.389256000518799,"(105.0, 1225.0, 43.0, 15.0)",Population
